#efficiency name: EID80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
20    22   -1.4442 1.4442  0     5     5        0.765096 0.778961 0.75123  2637    0       
22    24   -1.4442 1.4442  0     5     5        0.783249 0.795195 0.771302 3728.88 0       
24    26   -1.4442 1.4442  0     5     5        0.793364 0.803561 0.783166 5015    0       
26    28   -1.4442 1.4442  0     5     5        0.822632 0.830143 0.815122 6340.02 0       
28    30   -1.4442 1.4442  0     5     5        0.838287 0.845497 0.831076 7733    0       
30    32   -1.4442 1.4442  0     5     5        0.852923 0.858299 0.847546 9434    0       
32    34   -1.4442 1.4442  0     5     5        0.866271 0.869694 0.862848 11208   0       
34    36   -1.4442 1.4442  0     5     5        0.875089 0.876287 0.87389  13166   0       
36    38   -1.4442 1.4442  0     5     5        0.879336 0.880721 0.877952 15417   0       
38    40   -1.4442 1.4442  0     5     5        0.886944 0.887605 0.886283 17827   0       
40    42   -1.4442 1.4442  0     5     5        0.899475 0.900762 0.898188 20117   0       
42    44   -1.4442 1.4442  0     5     5        0.901476 0.901657 0.901296 21492   0       
44    46   -1.4442 1.4442  0     5     5        0.907723 0.908337 0.90711  19810   0       
46    48   -1.4442 1.4442  0     5     5        0.907562 0.907661 0.907463 15438   0       
48    50   -1.4442 1.4442  0     5     5        0.907143 0.908541 0.905744 10348   0       
50    52   -1.4442 1.4442  0     5     5        0.908026 0.908973 0.907079 6998.83 0       
52    54   -1.4442 1.4442  0     5     5        0.90346  0.903783 0.903138 4808    0       
54    56   -1.4442 1.4442  0     5     5        0.910944 0.912543 0.909345 3530.23 0       
56    58   -1.4442 1.4442  0     5     5        0.904033 0.905134 0.902932 2734    0       
58    60   -1.4442 1.4442  0     5     5        0.908657 0.908865 0.908449 2040    0       
60    62   -1.4442 1.4442  0     5     5        0.904269 0.904777 0.903762 1749.66 0       
62    64   -1.4442 1.4442  0     5     5        0.921668 0.922348 0.920988 1276    0       
64    66   -1.4442 1.4442  0     5     5        0.903196 0.903509 0.902883 1080    0       
66    68   -1.4442 1.4442  0     5     5        0.917312 0.919169 0.915455 937.244 0       
68    70   -1.4442 1.4442  0     5     5        0.912626 0.914925 0.910326 790     0       
70    500  -1.4442 1.4442  0     5     5        0.907007 0.908514 0.9055   5038    0       
20    22   -1.4442 1.4442  5     11    5        0.731865 0.74315  0.720581 2371    0       
22    24   -1.4442 1.4442  5     11    5        0.745047 0.758887 0.731207 3541    0       
24    26   -1.4442 1.4442  5     11    5        0.774337 0.781968 0.766705 4826    0       
26    28   -1.4442 1.4442  5     11    5        0.800438 0.805548 0.795327 6032    0       
28    30   -1.4442 1.4442  5     11    5        0.816767 0.821326 0.812209 7436    0       
30    32   -1.4442 1.4442  5     11    5        0.838455 0.842688 0.834222 8831    0       
32    34   -1.4442 1.4442  5     11    5        0.841064 0.844562 0.837566 10761   0       
34    36   -1.4442 1.4442  5     11    5        0.857519 0.859466 0.855571 12338   0       
36    38   -1.4442 1.4442  5     11    5        0.864773 0.866168 0.863378 14815   0       
38    40   -1.4442 1.4442  5     11    5        0.873397 0.873601 0.873193 17128   0       
40    42   -1.4442 1.4442  5     11    5        0.883892 0.884801 0.882983 19282   0       
42    44   -1.4442 1.4442  5     11    5        0.886448 0.886819 0.886077 20841.8 0       
44    46   -1.4442 1.4442  5     11    5        0.895414 0.895648 0.89518  19506   0       
46    48   -1.4442 1.4442  5     11    5        0.897914 0.898365 0.897463 15118   0       
48    50   -1.4442 1.4442  5     11    5        0.897662 0.899003 0.896321 10058.6 0       
50    52   -1.4442 1.4442  5     11    5        0.895326 0.895978 0.894674 6829.55 0       
52    54   -1.4442 1.4442  5     11    5        0.905914 0.907955 0.903872 4787.27 0       
54    56   -1.4442 1.4442  5     11    5        0.88779  0.888172 0.887408 3410.8  0       
56    58   -1.4442 1.4442  5     11    5        0.897523 0.899477 0.89557  2559.58 0       
58    60   -1.4442 1.4442  5     11    5        0.892393 0.895093 0.889692 2004.86 0       
60    62   -1.4442 1.4442  5     11    5        0.901941 0.907048 0.896834 1575.68 0       
62    64   -1.4442 1.4442  5     11    5        0.904863 0.907248 0.902479 1224.15 0       
64    66   -1.4442 1.4442  5     11    5        0.901881 0.903435 0.900327 1006.74 0       
66    68   -1.4442 1.4442  5     11    5        0.903551 0.906112 0.90099  855     0       
68    70   -1.4442 1.4442  5     11    5        0.900265 0.906929 0.8936   710.254 0       
70    500  -1.4442 1.4442  5     11    5        0.90534  0.906264 0.904415 4633    0       
20    22   -1.4442 1.4442  11    102   5        0.690894 0.715885 0.665904 512     0       
22    24   -1.4442 1.4442  11    102   5        0.71865  0.738361 0.69894  723.914 0       
24    26   -1.4442 1.4442  11    102   5        0.752433 0.765486 0.73938  969     0       
26    28   -1.4442 1.4442  11    102   5        0.781    0.786893 0.775107 1243    0       
28    30   -1.4442 1.4442  11    102   5        0.804824 0.810793 0.798855 1458    0       
30    32   -1.4442 1.4442  11    102   5        0.829321 0.837703 0.820938 1779    0       
32    34   -1.4442 1.4442  11    102   5        0.822653 0.824481 0.820826 2148    0       
34    36   -1.4442 1.4442  11    102   5        0.834859 0.838528 0.831189 2575    0       
36    38   -1.4442 1.4442  11    102   5        0.848732 0.850251 0.847213 3056    0       
38    40   -1.4442 1.4442  11    102   5        0.854432 0.854753 0.854111 3592    0       
40    42   -1.4442 1.4442  11    102   5        0.867713 0.868396 0.86703  4134    0       
