#put your comments after a '#'.

efficiency name: ElectronId-Eta
dimension: 1 


Nbin	binMin	binMax	value	systP	systM	denom
1	-5	-4	0	0	0	0
2	-4	-3	0	0	0	0
3	-3	-2.5	0.5094	32.57	26.71	29.66
4	-2.5	-2	0.7054	488.5	467	477.8
5	-2	-1.56	0.9374	619.8	606.7	613.5
6	-1.56	-1.444	0.9423	53.72	50.06	52.04
7	-1.444	-1	0.9293	725.3	709.8	717.8
8	-1	-0.5	0.9528	977.8	962.8	970.6
9	-0.5	0	0.916	1021	1002	1012
10	0	0.5	0.9375	1000	982.4	991.5
11	0.5	1	0.9439	912.8	897	905.2
12	1	1.444	0.9305	737.1	720.6	729.2
13	1.444	1.56	0.8478	66.38	61.67	63.15
14	1.56	2	0.9502	629.2	623.4	626.3
15	2	2.5	0.7849	447	428.8	438.1
16	2.5	3	0	29.33	0	11.57
17	3	4	0	0	0	0
18	4	5	0	0	0	0
