#put your comments after a '#'.
#efficiency name: ElectronId
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20        120       -2.5         -2          4     0.9891      0.991     0.9871        994
         20        120         -2       -1.5          4     0.9866      0.988     0.9852       1162
         20        120       -1.5         -1          4      0.964     0.9655     0.9624     1535.7
         20        120         -1       -0.5          4     0.9689     0.9707     0.9671     1999.8
         20        120       -0.5          0          4     0.9231     0.9246     0.9216     2019.3
         20        120          0        0.5          4     0.9476     0.9506     0.9447     2095.2
         20        120        0.5          1          4     0.9719      0.974     0.9698     1843.3
         20        120          1        1.5          4     0.9805     0.9825     0.9786       1536
         20        120        1.5          2          4     0.9922     0.9936     0.9909     1224.4
         20        120          2        2.5          4     0.9929     0.9941     0.9918     1013.4
