#put your comments after a '#'.
#efficiency name: ElectronId
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         20        105         -3       -2.8          4          0          1         -1          0
         20        105       -2.8       -2.6          4          0          1         -1          0
         20        105       -2.6       -2.5          4     0.9615          1         -1         26
         20        105       -2.5      -2.25          4     0.9764          1         -1        212
         20        105      -2.25         -2          4     0.9879          1         -1        248
         20        105         -2      -1.75          4     0.9909          1         -1        330
         20        105      -1.75      -1.56          4     0.9897          1         -1        290
         20        105     -1.444      -1.25          4     0.9846          1         -1        324
         20        105      -1.25         -1          4     0.9939          1         -1        495
         20        105         -1      -0.75          4     0.9941          1         -1        505
         20        105      -0.75       -0.5          4      0.988          1         -1        585
         20        105       -0.5      -0.25          4     0.9965          1         -1        577
         20        105      -0.25          0          4     0.9947          1         -1        561
         20        105          0       0.25          4     0.9983          1         -1        574
         20        105       0.25        0.5          4     0.9926          1         -1        541
         20        105        0.5       0.75          4     0.9948          1         -1        582
         20        105       0.75          1          4      0.996          1         -1        495
         20        105          1       1.25          4     0.9876          1         -1        483
         20        105       1.25      1.444          4     0.9938          1         -1        321
         20        105       1.56       1.75          4     0.9888          1         -1        269
         20        105       1.75          2          4     0.9863          1         -1        366
         20        105          2       2.25          4     0.9862          1         -1        289
         20        105       2.25        2.5          4      0.978          1         -1        227
         20        105        2.5        2.6          4      0.913          1         -1         23
         20        105        2.6        2.8          4          0          1         -1          0
         20        105        2.8          3          4          0          1         -1          0
