#put your comments after a '#'.

efficiency name: GsfTrack-Eta
dimension: 1 


Nbin	binMin	binMax	value	systP	systM	denom
1	-5	-4	0	1	-1	0
2	-4	-3	0	1	-1	0
3	-3	-2.5	0.04796	0.01279	-0.01279	602
4	-2.5	-2	0.7989	0.02705	-0.02705	2232
5	-2	-1.56	0.8881	0.02705	-0.02705	2361
6	-1.56	-1.444	0	1	-1	0
7	-1.444	-1	0.919	0.02689	-0.02689	2837
8	-1	-0.5	0.9334	0.01099	-0.01099	3756
9	-0.5	0	0.9531	0.0214	-0.0214	3973
10	0	0.5	0.9524	0.01572	-0.01572	3863
11	0.5	1	0.9396	0.01885	-0.01885	3524
12	1	1.444	0.9136	0.02526	-0.02526	3007
13	1.444	1.56	0	1	-1	0
14	1.56	2	0.8887	0.01978	-0.01978	2496
15	2	2.5	0.7916	0.04139	-0.04139	2162
16	2.5	3	0.02285	0.0002209	-0.0002209	744
17	3	4	0	1	-1	0
18	4	5	0	1	-1	0
