#put your comments after a '#'.
#efficiency name: GsfTrack
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20        120       -2.5         -2          4     0.9535     0.9562     0.9508     1155.1
         20        120         -2       -1.5          4     0.9715     0.9747     0.9683     1262.8
         20        120       -1.5         -1          4     0.9791     0.9824     0.9759     1594.5
         20        120         -1       -0.5          4     0.9982          1     0.9955     2038.4
         20        120       -0.5          0          4     0.9924     0.9955     0.9893     2057.5
         20        120          0        0.5          4          1          1      0.997     2113.6
         20        120        0.5          1          4     0.9805     0.9829      0.978     1961.6
         20        120          1        1.5          4     0.9914     0.9939     0.9888     1576.9
         20        120        1.5          2          4     0.9699     0.9718      0.968     1355.3
         20        120          2        2.5          4     0.9384     0.9413     0.9355     1163.3
