#put your comments after a '#'.
#efficiency name: GsfTrack
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
          0         20         -3      -1.56          4   0.001404          1         -1     4274.8
          0         20      -1.56       1.56          4    0.03184          1         -1     785.08
          0         20       1.56          3          4   0.001194          1         -1     4186.8
         20        105         -3       -2.6          4          0          1         -1     2771.5
         20        105        2.6          3          4  0.0003671          1         -1       2724
         20        105       -2.6       -2.5          4     0.2546          1         -1     979.85
         20        105        2.5        2.6          4     0.2238          1         -1     958.25
         20         25       -2.5      -1.56          4     0.7311          1         -1     955.75
         20         25       1.56        2.5          4     0.7354          1         -1      950.5
         25         30       -2.5      -1.56          4     0.8044          1         -1     1293.6
         25         30       1.56        2.5          4     0.8103          1         -1     1434.1
         30         35       -2.5      -1.56          4     0.8523          1         -1     1796.7
         30         35       1.56        2.5          4     0.8432          1         -1     1810.9
         35       42.5       -2.5      -1.56          4     0.8989          1         -1     3526.5
         35       42.5       1.56        2.5          4      0.911          1         -1     3440.2
       42.5         50       -2.5      -1.56          4     0.9208          1         -1     3178.7
       42.5         50       1.56        2.5          4     0.9174          1         -1     3254.4
         50         65       -2.5      -1.56          4      0.892          1         -1     1172.9
         50         65       1.56        2.5          4     0.8921          1         -1     1199.2
         65        105       -2.5      -1.56          4     0.8064          1         -1     272.12
         65        105       1.56        2.5          4     0.8229          1         -1     282.25
         20         30     -1.442         -1          4      0.921          1         -1     1039.2
         20         25         -1          1          4     0.9275          1         -1     1782.6
         25         30         -1          1          4     0.9421          1         -1       3301
         20         30          1      1.442          4     0.9187          1         -1       1098
         30         35     -1.442         -1          4     0.9429          1         -1     1085.4
         30       32.5         -1          1          4     0.9605          1         -1     2514.3
       32.5         35         -1          1          4     0.9688          1         -1     3201.4
         30         35          1      1.442          4     0.9341          1         -1     998.21
         35       42.5     -1.442         -1          4     0.9562          1         -1     2511.4
         35       42.5         -1          1          4     0.9771          1         -1      13244
         35       42.5          1      1.442          4     0.9604          1         -1     2528.6
       42.5         50     -1.442         -1          4     0.9752          1         -1     2115.5
       42.5         50         -1          1          4     0.9788          1         -1      10969
       42.5         50          1      1.442          4     0.9676          1         -1     2101.2
         50         60     -1.442      1.442          4     0.9814          1         -1       4804
         60        105     -1.442      1.442          4     0.9781          1         -1     2508.3
