#put your comments after a '#'.
#efficiency name: GsfTrack
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.9607     0.9662     0.9553     479.25
         30         35       -2.5       -1.5          4     0.9932      0.998     0.9885     382.65
         35         40       -2.5       -1.5          4     0.9485     0.9505     0.9466      572.7
         40         50       -2.5       -1.5          4     0.9653     0.9668     0.9638     1070.1
         50        500       -2.5       -1.5          4     0.9674     0.9721     0.9627     265.45
         20         30       -1.5          0          4     0.9401     0.9444     0.9358     912.45
         30         35       -1.5          0          4     0.9842     0.9874      0.981     932.75
         35         40       -1.5          0          4     0.9869     0.9887     0.9852     1371.9
         40         50       -1.5          0          4     0.9827     0.9839     0.9816     2776.7
         50        500       -1.5          0          4     0.9954     0.9991     0.9917     809.49
         20         30          0        1.5          4     0.9506     0.9551     0.9461     902.95
         30         35          0        1.5          4     0.9735      0.976      0.971     1020.8
         35         40          0        1.5          4     0.9833     0.9852     0.9815     1354.7
         40         50          0        1.5          4     0.9873     0.9884     0.9862     2774.7
         50        500          0        1.5          4     0.9909     0.9943     0.9875     749.33
         20         30        1.5        2.5          4     0.9545     0.9597     0.9495     532.05
         30         35        1.5        2.5          4     0.9681     0.9711     0.9652     479.88
         35         40        1.5        2.5          4     0.9632     0.9655     0.9609     599.37
         40         50        1.5        2.5          4     0.9563     0.9578     0.9547     1062.9
         50        500        1.5        2.5          4     0.9673     0.9707      0.964     302.71
