#efficiency name: HFElectronId-EtaDet
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
0     0.05 3.1     4.6     0     4     5        0.903341 0.91931  0.887373 300.555 1       
0.05  0.1  3.1     4.6     0     4     5        0.839753 0.853971 0.825536 178.321 1       
0.1   0.2  3.1     4.6     0     4     5        0.863884 0.912694 0.815074 171.878 1       
0.2   3    3.1     4.6     0     4     5        0.857034 0.95127  0.762797 183.763 1       
0     0.05 3.1     4.6     5     30    5        0.740724 0.780963 0.700486 333.281 1       
0.05  0.1  3.1     4.6     5     30    5        0.707808 0.731003 0.684613 182.362 1       
0.1   0.2  3.1     4.6     5     30    5        0.749094 0.801806 0.696382 138.532 1       
0.2   3    3.1     4.6     5     30    5        0.717878 0.780221 0.655535 191.956 1       
0     0.05 -4.6    -3.1    0     4     5        0.839744 0.855448 0.82404  311.732 1       
0.05  0.1  -4.6    -3.1    0     4     5        0.77669  0.812272 0.741108 152.109 1       
0.1   0.2  -4.6    -3.1    0     4     5        0.854616 0.902544 0.806688 151.785 1       
0.2   3    -4.6    -3.1    0     4     5        0.765401 0.809295 0.721508 146.794 1       
0     0.05 -4.6    -3.1    5     30    5        0.676931 0.704856 0.649007 286.988 1       
0.05  0.1  -4.6    -3.1    5     30    5        0.723674 0.74144  0.705908 170.892 1       
0.1   0.2  -4.6    -3.1    5     30    5        0.558253 0.560203 0.556302 158.262 1       
0.2   3    -4.6    -3.1    5     30    5        0.754125 0.817306 0.690944 175.467 1       
