#put your comments after a '#'.
#efficiency name: HFEId
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         10        100         -5      -4.75          4          0          1         -1          0
         10        100      -4.75       -4.5          4     0.9257          1         -1        175
         10        100       -4.5      -4.25          4     0.8737          1         -1     334.21
         10        100      -4.25         -4          4     0.8714          1         -1     590.42
         10        100         -4      -3.75          4     0.8951          1         -1      824.5
         10        100      -3.75       -3.5          4     0.9137          1         -1     1107.6
         10        100       -3.5      -3.25          4      0.914          1         -1       1401
         10        100      -3.25         -3          4     0.9352          1         -1     2129.5
         10        100         -3       -2.5          4       0.32          1         -1     2.0833
         10        100       -2.5        2.5          4          0          1         -1          0
         10        100        2.5          3          4     0.8333          1         -1          6
         10        100          3       3.25          4     0.9444          1         -1     2068.6
         10        100       3.25        3.5          4     0.9211          1         -1     1353.3
         10        100        3.5       3.75          4     0.9184          1         -1     1096.5
         10        100       3.75          4          4     0.8932          1         -1     843.58
         10        100          4       4.25          4     0.8668          1         -1     571.04
         10        100       4.25        4.5          4     0.8841          1         -1     316.52
         10        100        4.5       4.75          4     0.9509          1         -1     162.81
         10        100       4.75          5          4          0          1         -1          0
