#put your comments after a '#'.
#efficiency name: HFEId
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         10         20         -5         -3          4     0.6388          1         -1     1081.2
         10         20          3          5          4     0.6373          1         -1     1038.7
         20         30         -5         -4          4     0.6398          1         -1        558
         20         30         -4         -3          4     0.7194          1         -1     1865.8
         20         30          3          4          4     0.7181          1         -1     1791.5
         20         30          4          5          4     0.6085          1         -1     522.58
         30         40         -5         -4          4     0.7057          1         -1     193.71
         30         40         -4         -3          4     0.8251          1         -1     1743.7
         30         40          3          4          4     0.8144          1         -1       1794
         30         40          4          5          4     0.7091          1         -1        220
         40        105         -5         -3          4     0.8736          1         -1       1099
         40        105          3          5          4     0.8798          1         -1     1039.8
