#put your comments after a '#'.

efficiency name: HFEId-Pt
dimension: 1 


Nbin	binMin	binMax	value	systP	systM	denom
1	5	10	0	1	-1	0
2	10	15	0.7898	1	-1	379.12
3	15	20	0.7984	1	-1	942.12
4	20	25	0.886	1	-1	1154.2
5	25	30	0.8996	1	-1	1135.4
6	30	32.5	0.9119	1	-1	461.69
7	32.5	35	0.9693	1	-1	454.27
8	35	37.5	0.9612	1	-1	367.1
9	37.5	40	0.962	1	-1	245.12
10	40	42.5	0.9656	1	-1	162.08
11	42.5	45	0.9679	1	-1	123.46
12	45	50	0.8921	1	-1	71.042
13	50	55	0.7689	1	-1	9.1042
14	55	60	0.8	1	-1	3.3333
15	60	67.5	0.5664	1	-1	2.9792
16	67.5	75	0.8681	1	-1	4.8958
17	75	82.5	1	1	-1	2.3958
18	82.5	92.5	1	1	-1	1.375
19	92.5	105	1	1	-1	2.6875
