#put your comments after a '#'.

efficiency name: HLT-Eta
dimension: 1 


Nbin	binMin	binMax	value	systP	systM	denom
1	-5	-4	0	1	-1	0
2	-4	-3	0	1	-1	0
3	-3	-2.5	0	1	-1	283
4	-2.5	-2	0.746	0.004753	-0.004753	1658
5	-2	-1.56	0.7816	0.01525	-0.01525	1927
6	-1.56	-1.444	0	1	-1	0
7	-1.444	-1	0.6605	0.00386	-0.00386	2467
8	-1	-0.5	0.817	0.002435	-0.002435	3309
9	-0.5	0	0.842	0.004463	-0.004463	3647
10	0	0.5	0.8424	0.003055	-0.003055	3553
11	0.5	1	0.8289	0.006441	-0.006441	3211
12	1	1.444	0.6697	0.008204	-0.008204	2584
13	1.444	1.56	0	1	-1	0
14	1.56	2	0.7742	0.00847	-0.00847	2059
15	2	2.5	0.756	0.004304	-0.004304	1543
16	2.5	3	0	1	-1	1818
17	3	4	0	1	-1	0
18	4	5	0	1	-1	0
