#put your comments after a '#'.
#efficiency name: HLT
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20        120       -2.5         -2          4     0.9689     0.9699      0.968     992.47
         20        120         -2       -1.5          4      0.964     0.9648     0.9631     1144.7
         20        120       -1.5         -1          4     0.9857     0.9867     0.9847     1479.1
         20        120         -1       -0.5          4     0.9799      0.981     0.9787     1924.5
         20        120       -0.5          0          4     0.9861     0.9868     0.9854     1875.4
         20        120          0        0.5          4     0.9775     0.9782     0.9768     1984.7
         20        120        0.5          1          4     0.9858     0.9869     0.9848     1808.1
         20        120          1        1.5          4     0.9733     0.9739     0.9728     1521.6
         20        120        1.5          2          4      0.956     0.9568     0.9552     1215.1
         20        120          2        2.5          4     0.9741     0.9748     0.9734     997.27
