#put your comments after a '#'.
#efficiency name: HLT
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         20        105         -3       -2.8          4          0          1         -1          0
         20        105       -2.8       -2.6          4          0          1         -1          0
         20        105       -2.6       -2.5          4          0          1         -1         25
         20        105       -2.5      -2.25          4      0.913          1         -1        207
         20        105      -2.25         -2          4      0.939          1         -1        246
         20        105         -2      -1.75          4     0.9388          1         -1        327
         20        105      -1.75      -1.56          4     0.9024          1         -1        287
         20        105     -1.444      -1.25          4     0.9279          1         -1        319
         20        105      -1.25         -1          4     0.9593          1         -1        492
         20        105         -1      -0.75          4     0.9602          1         -1        502
         20        105      -0.75       -0.5          4     0.9792          1         -1        578
         20        105       -0.5      -0.25          4     0.9687          1         -1        575
         20        105      -0.25          0          4     0.9803          1         -1        558
         20        105          0       0.25          4     0.9843          1         -1        573
         20        105       0.25        0.5          4     0.9832          1         -1        537
         20        105        0.5       0.75          4      0.962          1         -1        579
         20        105       0.75          1          4     0.9737          1         -1        494
         20        105          1       1.25          4     0.9581          1         -1        477
         20        105       1.25      1.444          4      0.931          1         -1        319
         20        105       1.56       1.75          4     0.9323          1         -1        266
         20        105       1.75          2          4     0.9391          1         -1        361
         20        105          2       2.25          4     0.9439          1         -1        285
         20        105       2.25        2.5          4     0.8784          1         -1        222
         20        105        2.5        2.6          4          0          1         -1         21
         20        105        2.6        2.8          4          0          1         -1          0
         20        105        2.8          3          4          0          1         -1          0
