#put your comments after a '#'.
#efficiency name: HLT80
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.9439     0.9455     0.9424     285.06
         30         35       -2.5       -1.5          4      0.969       0.97      0.968     276.07
         35         40       -2.5       -1.5          4     0.9789     0.9795     0.9783     379.58
         40         50       -2.5       -1.5          4     0.9875     0.9877     0.9872     796.98
         50        500       -2.5       -1.5          4     0.9671     0.9682      0.966     212.62
         20         30       -1.5          0          4     0.9843      0.985     0.9837     618.56
         30         35       -1.5          0          4     0.9826     0.9832     0.9819     734.32
         35         40       -1.5          0          4     0.9901     0.9906     0.9896     1126.9
         40         50       -1.5          0          4     0.9868      0.987     0.9866       2347
         50        500       -1.5          0          4     0.9852     0.9855     0.9849     743.62
         20         30          0        1.5          4     0.9802      0.981     0.9794     617.95
         30         35          0        1.5          4     0.9839     0.9841     0.9836     804.64
         35         40          0        1.5          4     0.9825     0.9826     0.9824     1142.8
         40         50          0        1.5          4     0.9841      0.985     0.9832     2386.1
         50        500          0        1.5          4      0.988     0.9883     0.9877     666.51
         20         30        1.5        2.5          4     0.9585     0.9597     0.9573     316.31
         30         35        1.5        2.5          4     0.9541     0.9551     0.9532     314.74
         35         40        1.5        2.5          4     0.9789     0.9852     0.9727     426.67
         40         50        1.5        2.5          4     0.9853     0.9861     0.9844     782.52
         50        500        1.5        2.5          4     0.9847     0.9859     0.9836     262.56
