#put your comments after a '#'.

efficiency name: Iso-EtaDet
dimension: 1 


Nbin	binMin	binMax	value	systP	systM	denom
1	-3	-2.75	0	1	-1	0
2	-2.75	-2.5	0.9848	1	-1	512.2
3	-2.5	-2.25	0.9816	1	-1	4737.1
4	-2.25	-2	0.9845	1	-1	5925.1
5	-2	-1.75	0.9943	1	-1	6895.2
6	-1.75	-1.56	0.9963	1	-1	5433.2
7	-1.56	-1.444	0.9091	1	-1	28.6
8	-1.444	-1.25	0.9964	1	-1	6831.5
9	-1.25	-1	0.9968	1	-1	9858.1
10	-1	-0.75	0.9982	1	-1	10208
11	-0.75	-0.5	0.9983	1	-1	11322
12	-0.5	-0.25	0.9989	1	-1	11344
13	-0.25	0	0.9976	1	-1	11503
14	0	0.25	0.9987	1	-1	11685
15	0.25	0.5	0.9978	1	-1	11320
16	0.5	0.75	0.9972	1	-1	11046
17	0.75	1	0.9955	1	-1	10592
18	1	1.25	0.9972	1	-1	9715.8
19	1.25	1.444	0.9977	1	-1	6933.7
20	1.444	1.56	1	1	-1	18.2
21	1.56	1.75	0.996	1	-1	5875.6
22	1.75	2	0.9971	1	-1	6659.8
23	2	2.25	0.9873	1	-1	5969.9
24	2.25	2.5	0.9832	1	-1	4825.6
25	2.5	2.75	0.9943	1	-1	457.49
26	2.75	3	0	1	-1	0
