#put your comments after a '#'.
#efficiency name: Iso
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         10         15       -2.5        2.5          4     0.6586          1         -1     21.762
         15         20       -2.5        2.5          4      0.954          1         -1     90.048
         20         25       -2.5        2.5          4     0.9682          1         -1       3562
         25         30       -2.5        2.5          4     0.9774          1         -1     6492.9
         30       32.5       -2.5        2.5          4     0.9761          1         -1     4445.4
       32.5         35       -2.5        2.5          4      0.974          1         -1     5459.7
         35       37.5       -2.5        2.5          4     0.9776          1         -1       6623
       37.5         40       -2.5        2.5          4       0.98          1         -1     7829.4
         40       42.5       -2.5        2.5          4     0.9829          1         -1     8794.8
       42.5         45       -2.5        2.5          4      0.981          1         -1     8861.5
         45         50       -2.5        2.5          4     0.9835          1         -1      11306
         50         55       -2.5        2.5          4     0.9882          1         -1     4217.4
         55         60       -2.5        2.5          4     0.9859          1         -1     1911.2
         60       67.5       -2.5        2.5          4     0.9814          1         -1     1425.4
       67.5         75       -2.5        2.5          4     0.9785          1         -1      743.9
         75       82.5       -2.5        2.5          4     0.9587          1         -1     363.14
       82.5       92.5       -2.5        2.5          4     0.9804          1         -1     305.81
       92.5        105       -2.5        2.5          4     0.9729          1         -1     221.52
