#put your comments after a '#'.
#efficiency name: Iso-PtEta
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.8498      0.855     0.8446     459.76
         30         35       -2.5       -1.5          4     0.9212     0.9316      0.911     303.75
         35         40       -2.5       -1.5          4     0.9495     0.9552      0.944     499.53
         40         50       -2.5       -1.5          4     0.9771     0.9813      0.973     846.34
         50        120       -2.5       -1.5          4       0.95     0.9568     0.9433     225.62
         20         30       -1.5          0          4     0.9409     0.9464     0.9354      739.7
         30         35       -1.5          0          4     0.9907     0.9966      0.985     730.44
         35         40       -1.5          0          4     0.9928     0.9947     0.9908       1238
         40         50       -1.5          0          4     0.9939     0.9946     0.9932     2332.2
         50        120       -1.5          0          4          1          1     0.9971     689.29
         20         30          0        1.5          4     0.9833       0.99     0.9766     687.49
         30         35          0        1.5          4       0.98     0.9836     0.9764     848.17
         35         40          0        1.5          4     0.9837      0.985     0.9824     1200.8
         40         50          0        1.5          4     0.9984     0.9994     0.9973     2332.8
         50        120          0        1.5          4          1          1     0.9977     653.93
         20         30        1.5        2.5          4      0.886     0.8917     0.8804     470.12
         30         35        1.5        2.5          4      0.957     0.9674     0.9468     386.06
         35         40        1.5        2.5          4      0.952      0.957     0.9471     505.38
         40         50        1.5        2.5          4     0.9475     0.9491      0.946     806.48
         50        120        1.5        2.5          4     0.9528     0.9569     0.9487     216.68
