#put your comments after a '#'.
#efficiency name: Iso
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         10         20       -2.5      -1.56          4      0.919          1         -1     17.929
         20         25       -2.5      -1.56          4     0.9612          1         -1     865.38
         25         30       -2.5      -1.56          4     0.9622          1         -1     1137.6
         30         35       -2.5      -1.56          4     0.9414          1         -1     1558.1
         35       37.5       -2.5      -1.56          4     0.9423          1         -1     929.24
       37.5         40       -2.5      -1.56          4     0.9472          1         -1     1130.2
         40         45       -2.5      -1.56          4     0.9567          1         -1     2497.7
         45         50       -2.5      -1.56          4     0.9566          1         -1     1533.5
         50         60       -2.5      -1.56          4     0.9456          1         -1     771.98
         60        105       -2.5      -1.56          4     0.9306          1         -1     389.17
         10         20     -1.442      1.442          4     0.9727          1         -1     48.762
         20         25     -1.442      1.442          4     0.9774          1         -1       2476
         25         30     -1.442      1.442          4     0.9781          1         -1     4576.7
         30       32.5     -1.442      1.442          4     0.9703          1         -1     3306.9
       32.5         35     -1.442      1.442          4     0.9787          1         -1     4191.1
         35       37.5     -1.442      1.442          4      0.977          1         -1     5118.4
       37.5         40     -1.442      1.442          4     0.9813          1         -1     6110.9
         40       42.5     -1.442      1.442          4     0.9845          1         -1     6972.1
       42.5         45     -1.442      1.442          4     0.9824          1         -1     6920.7
         45         50     -1.442      1.442          4     0.9842          1         -1     8594.2
         50         55     -1.442      1.442          4     0.9828          1         -1     3132.2
         55         60     -1.442      1.442          4     0.9804          1         -1     1505.4
         60        105     -1.442      1.442          4      0.971          1         -1     2490.4
         10         20       1.56        2.5          4     0.9002          1         -1      22.19
         20         25       1.56        2.5          4     0.9654          1         -1     680.26
         25         30       1.56        2.5          4     0.9541          1         -1     1168.3
         30         35       1.56        2.5          4     0.9497          1         -1     1530.1
         35       37.5       1.56        2.5          4      0.949          1         -1     957.05
       37.5         40       1.56        2.5          4     0.9555          1         -1     1062.7
         40         45       1.56        2.5          4     0.9543          1         -1     2446.5
         45         50       1.56        2.5          4     0.9596          1         -1     1485.1
         50         60       1.56        2.5          4     0.9475          1         -1     810.12
         60        105       1.56        2.5          4      0.931          1         -1     365.57
