#put your comments after a '#'.
#efficiency name: Iso80
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.6878     0.6922     0.6835     451.09
         30         35       -2.5       -1.5          4     0.7431     0.7521     0.7344     301.06
         35         40       -2.5       -1.5          4      0.785      0.789     0.7811     481.54
         40         50       -2.5       -1.5          4     0.8422     0.8557     0.8292     708.83
         50        120       -2.5       -1.5          4     0.8879     0.9041     0.8722     202.35
         20         30       -1.5          0          4     0.8409     0.8485     0.8334     701.85
         30         35       -1.5          0          4     0.8971     0.9039     0.8904     704.86
         35         40       -1.5          0          4     0.8998     0.9054     0.8942     1079.9
         40         50       -1.5          0          4     0.9211     0.9224     0.9197     2249.6
         50        120       -1.5          0          4     0.9311     0.9351     0.9272     673.27
         20         30          0        1.5          4     0.8522     0.8594     0.8451     664.68
         30         35          0        1.5          4      0.895     0.9004     0.8897      786.5
         35         40          0        1.5          4     0.8932     0.8947     0.8916     1149.8
         40         50          0        1.5          4     0.9202     0.9218     0.9186     2276.6
         50        120          0        1.5          4     0.9186     0.9232     0.9142     628.95
         20         30        1.5        2.5          4      0.716     0.7228     0.7094     446.85
         30         35        1.5        2.5          4     0.7363     0.7454     0.7275     371.34
         35         40        1.5        2.5          4     0.7803     0.7898      0.771     457.87
         40         50        1.5        2.5          4     0.8289     0.8436     0.8147     659.45
         50        120        1.5        2.5          4     0.7747     0.7785     0.7709     212.63
