#put your comments after a '#'.

efficiency name: ScPlusTrack-Eta
dimension: 1 


Nbin	binMin	binMax	value	systP	systM	denom
1	-5	-4	0	0	0	0
2	-4	-3	0	0	0	0
3	-3	-2.5	0.06373	476.7	464.4	470.2
4	-2.5	-2	0.8271	617.7	593	605.4
5	-2	-1.56	0.8518	641.7	620	631.1
6	-1.56	-1.444	0.8693	87.61	80.19	84.2
7	-1.444	-1	0.8697	770.8	746.4	758.8
8	-1	-0.5	0.9456	1005	985	995.1
9	-0.5	0	0.9471	986.9	967	977.2
10	0	0.5	0.9478	978.2	957.2	968
11	0.5	1	0.9329	895.5	876.1	886.1
12	1	1.444	0.9188	716.6	694.6	705.8
13	1.444	1.56	0.7857	60.49	53.7	57.25
14	1.56	2	0.8673	654.6	632	643.5
15	2	2.5	0.7977	598.7	574.3	586.7
16	2.5	3	0.07315	350.4	339.5	344.7
17	3	4	0	0	0	0
18	4	5	0	0	0	0
