#put your comments after a '#'.
#efficiency name: SuperCluster
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
          0         15         -3      -1.56          4      0.908          1         -1      11756
          0         15      -1.56       1.56          4     0.8155          1         -1     9311.2
          0         15       1.56          3          4     0.9083          1         -1      11754
         20        105         -3       -2.6          4     0.8798          1         -1     3487.8
         20        105        2.6          3          4     0.8711          1         -1     3476.3
         20        105       -2.6       -2.5          4     0.9961          1         -1     1027.9
         20        105        2.5        2.6          4     0.9963          1         -1     1092.7
         15         25      -2.48         -2          4     0.9932          1         -1       4888
         15         25         -2      -1.56          4     0.9868          1         -1     4380.7
         15         25       1.56          2          4     0.9905          1         -1     4431.5
         15         25          2       2.48          4     0.9919          1         -1     4911.2
         25         30      -2.48         -2          4     0.9942          1         -1     7280.7
         25         30         -2      -1.56          4     0.9875          1         -1       6749
         25         30       1.56          2          4     0.9891          1         -1     6686.1
         25         30          2       2.48          4     0.9931          1         -1     7273.7
         30         35      -2.48         -2          4      0.995          1         -1     9991.7
         30         35         -2      -1.56          4     0.9874          1         -1     9736.9
         30         35       1.56          2          4     0.9928          1         -1     9856.5
         30         35          2       2.48          4     0.9952          1         -1     9866.1
         35       42.5      -2.48         -2          4     0.9959          1         -1      19911
         35       42.5         -2      -1.56          4     0.9894          1         -1      22598
         35       42.5       1.56          2          4     0.9913          1         -1      22526
         35       42.5          2       2.48          4     0.9961          1         -1      20090
       42.5         50      -2.48         -2          4     0.9971          1         -1      18812
       42.5         50         -2      -1.56          4     0.9891          1         -1      23240
       42.5         50       1.56          2          4     0.9914          1         -1      23544
       42.5         50          2       2.48          4     0.9965          1         -1      19041
         50         65      -2.48         -2          4     0.9977          1         -1     6394.2
         50         65         -2      -1.56          4     0.9895          1         -1     7978.7
         50         65       1.56          2          4     0.9933          1         -1     8005.9
         50         65          2       2.48          4     0.9974          1         -1       6278
         65        105      -2.48         -2          4     0.9993          1         -1     1418.3
         65        105         -2      -1.56          4     0.9896          1         -1     2046.5
         65        105       1.56          2          4     0.9932          1         -1     2073.3
         65        105          2       2.48          4          1          1         -1     1568.1
         15         30     -1.442         -1          4     0.9815          1         -1      10576
         15         25         -1          1          4     0.9892          1         -1      18705
         25         30         -1          1          4      0.991          1         -1      36947
         15         30          1      1.442          4     0.9801          1         -1      10700
         30         35     -1.442         -1          4      0.986          1         -1      11431
         30       32.5         -1          1          4      0.991          1         -1      29030
       32.5         35         -1          1          4     0.9907          1         -1      37108
         30         35          1      1.442          4     0.9871          1         -1      11518
         35       37.5     -1.442         -1          4      0.986          1         -1     8227.3
         35       37.5         -1          1          4     0.9929          1         -1      44849
         35       37.5          1      1.442          4     0.9889          1         -1     8194.3
       37.5       42.5     -1.442         -1          4      0.988          1         -1      21967
       37.5         40         -1          1          4     0.9922          1         -1      51667
         40       42.5         -1          1          4     0.9923          1         -1      58210
       37.5       42.5          1      1.442          4     0.9888          1         -1      22162
       42.5         50     -1.442         -1          4     0.9879          1         -1      27831
       42.5         45         -1          1          4     0.9926          1         -1      60875
         45         50         -1          1          4     0.9921          1         -1      77989
       42.5         50          1      1.442          4     0.9887          1         -1      27865
         50         60     -1.442      1.442          4     0.9926          1         -1      61686
         60        105     -1.442      1.442          4     0.9936          1         -1      30170
