#put your comments after a '#'.
#efficiency name: SuperCluster
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
          0         20         -3      -1.56          4     0.9525          1         -1     147.34
          0         20      -1.56       1.56          4     0.8007          1         -1     95.318
          0         20       1.56          3          4     0.9267          1         -1     163.82
         20        105         -3       -2.6          4      0.894          1         -1     346.75
         20        105        2.6          3          4     0.9142          1         -1     389.48
         20        105       -2.6       -2.5          4     0.9916          1         -1     119.45
         20        105        2.5        2.6          4     0.9892          1         -1     92.364
         20         30       -2.5      -1.56          4     0.9924          1         -1     262.64
         20         30       1.56        2.5          4     0.9913          1         -1     229.89
         30         35       -2.5      -1.56          4     0.9698          1         -1     165.36
         30         35       1.56        2.5          4     0.9747          1         -1     197.36
         35       42.5       -2.5      -1.56          4          1          1         -1      382.5
         35       42.5       1.56        2.5          4     0.9872          1         -1      391.5
       42.5         50       -2.5      -1.56          4     0.9891          1         -1     367.55
       42.5         50       1.56        2.5          4     0.9972          1         -1     356.18
         50         65       -2.5      -1.56          4     0.9911          1         -1     112.73
         50         65       1.56        2.5          4          1          1         -1     109.82
         65        105       -2.5      -1.56          4          1          1         -1     30.682
         65        105       1.56        2.5          4          1          1         -1       30.5
         20         30     -1.442         -1          4      0.992          1         -1     124.95
         20         30         -1          1          4      0.991          1         -1     557.95
         20         30          1      1.442          4     0.9812          1         -1     106.27
         30         35     -1.442         -1          4          1          1         -1     86.409
         30         35         -1          1          4      0.998          1         -1     577.39
         30         35          1      1.442          4     0.9545          1         -1        110
         35       42.5     -1.442         -1          4     0.9959          1         -1        241
         35       42.5         -1          1          4     0.9915          1         -1     1326.7
         35       42.5          1      1.442          4     0.9893          1         -1     280.82
       42.5         50     -1.442         -1          4     0.9964          1         -1      275.7
       42.5         50         -1          1          4     0.9919          1         -1       1278
       42.5         50          1      1.442          4     0.9884          1         -1      258.8
         50         60     -1.442      1.442          4     0.9995          1         -1        499
         60        105     -1.442      1.442          4     0.9965          1         -1     289.23
