#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
20    25   -1.4442 1.4442  0     4     5        0.582389 0.670964 0.493814 1344.09 0       
25    30   -1.4442 1.4442  0     4     5        0.676745 0.723188 0.630301 2191.01 0       
30    35   -1.4442 1.4442  0     4     5        0.76833  0.791815 0.744845 3268.84 0       
35    40   -1.4442 1.4442  0     4     5        0.807859 0.820027 0.795691 4268.3  0       
40    45   -1.4442 1.4442  0     4     5        0.85419  0.861127 0.847253 4982.28 0       
45    50   -1.4442 1.4442  0     4     5        0.866742 0.876937 0.856547 3031.86 0       
50    55   -1.4442 1.4442  0     4     5        0.863176 0.877776 0.848575 1216.75 0       
55    60   -1.4442 1.4442  0     4     5        0.882751 0.897728 0.867775 556.47  0       
60   400   -1.4442 1.4442  0     4     5        0.853065 0.872717 0.833412 538.003 0       
20    25   -1.4442 1.4442  5     30    5        0.510198 0.586099 0.434298 1592.55 0       
25    30   -1.4442 1.4442  5     30    5        0.635454 0.672347 0.598561 2430.45 0       
30    35   -1.4442 1.4442  5     30    5        0.720593 0.738931 0.702254 3617.04 0       
35    40   -1.4442 1.4442  5     30    5        0.784647 0.795001 0.774293 4923.42 0       
40    45   -1.4442 1.4442  5     30    5        0.830395 0.834287 0.826502 5791.09 0       
45    50   -1.4442 1.4442  5     30    5        0.856392 0.8629   0.849883 3470.12 0       
50    55   -1.4442 1.4442  5     30    5        0.846463 0.853088 0.839837 1439.96 0       
55    60   -1.4442 1.4442  5     30    5        0.865245 0.875055 0.855434 658.792 0       
60   400   -1.4442 1.4442  5     30    5        0.832424 0.849098 0.81575  607.421 0       
20    25   1.566   2.5     0     4     5        0.39728  0.430966 0.363593 422.049 0       
25    30   1.566   2.5     0     4     5        0.530277 0.549994 0.51056  556.133 0       
30    35   1.566   2.5     0     4     5        0.603065 0.621079 0.585052 735.559 0       
35    40   1.566   2.5     0     4     5        0.621256 0.632214 0.610298 784.224 0       
40    45   1.566   2.5     0     4     5        0.671509 0.671829 0.671189 853.699 0       
45    50   1.566   2.5     0     4     5        0.727718 0.747332 0.708104 484.706 0       
50    55   1.566   2.5     0     4     5        0.761315 0.785345 0.737286 184.929 0       
55    60   1.566   2.5     0     4     5        0.669218 0.699157 0.639278 101.597 0       
60   400   1.566   2.5     0     4     5        0.729829 0.760207 0.69945  81.6332 0       
20    25   1.566   2.5     5     30    5        0.318596 0.355452 0.281741 426.924 0       
25    30   1.566   2.5     5     30    5        0.463539 0.480341 0.446737 572.265 0       
30    35   1.566   2.5     5     30    5        0.482982 0.492525 0.473439 854.219 0       
35    40   1.566   2.5     5     30    5        0.596367 0.607744 0.58499  991.882 0       
40    45   1.566   2.5     5     30    5        0.641245 0.643648 0.638843 955.852 0       
45    50   1.566   2.5     5     30    5        0.649535 0.665096 0.633974 541.031 0       
50    55   1.566   2.5     5     30    5        0.710728 0.715202 0.706254 199.231 0       
55    60   1.566   2.5     5     30    5        0.742085 0.752688 0.731481 109     0       
60   400   1.566   2.5     5     30    5        0.690596 0.738647 0.642545 100.487 0       
20    25   -2.5    -1.566  0     4     5        0.406067 0.448347 0.363787 403.31  0       
25    30   -2.5    -1.566  0     4     5        0.459007 0.482433 0.435581 569.059 0       
30    35   -2.5    -1.566  0     4     5        0.58167  0.592234 0.571107 691.888 0       
35    40   -2.5    -1.566  0     4     5        0.655102 0.671693 0.638511 828.49  0       
40    45   -2.5    -1.566  0     4     5        0.705607 0.708674 0.702539 830     0       
45    50   -2.5    -1.566  0     4     5        0.750216 0.75795  0.742482 472.909 0       
50    55   -2.5    -1.566  0     4     5        0.766919 0.786466 0.747371 175.44  0       
55    60   -2.5    -1.566  0     4     5        0.738595 0.791132 0.686058 87.9985 0       
60   400   -2.5    -1.566  0     4     5        0.790235 0.801481 0.778988 102.322 0       
20    25   -2.5    -1.566  5     30    5        0.338509 0.375729 0.301289 462.121 0       
25    30   -2.5    -1.566  5     30    5        0.441472 0.468679 0.414264 599.092 0       
30    35   -2.5    -1.566  5     30    5        0.484213 0.496772 0.471654 793.834 0       
35    40   -2.5    -1.566  5     30    5        0.603717 0.618576 0.588858 914.935 0       
40    45   -2.5    -1.566  5     30    5        0.641689 0.650983 0.632395 967.037 0       
45    50   -2.5    -1.566  5     30    5        0.694979 0.704263 0.685695 559.584 0       
50    55   -2.5    -1.566  5     30    5        0.709612 0.720334 0.69889  214.632 0       
55    60   -2.5    -1.566  5     30    5        0.707893 0.739843 0.675943 96.2032 0       
60   400   -2.5    -1.566  5     30    5        0.744338 0.755144 0.733532 88.795  0       
