#put your comments after a '#'.
#efficiency name: WP85
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
         20         30       -2.5       -1.5          4     0.7325       0.08   -0.07372     120.18
         30         35       -2.5       -1.5          4     0.7375    0.06395   -0.05992      116.6
         35         40       -2.5       -1.5          4     0.7358     0.0393   -0.03696     225.58
         40         50       -2.5       -1.5          4     0.8334    0.03321   -0.03386     273.95
         50        120       -2.5       -1.5          4     0.9899     0.0101    -0.1027     59.511
         20         30       -1.5          0          4      0.768    0.05554   -0.05199     245.78
         30         35       -1.5          0          4     0.8945    0.04731    -0.0462     245.11
         35         40       -1.5          0          4      0.858    0.02498   -0.02295     404.44
         40         50       -1.5          0          4     0.8698     0.1302   -0.01497     756.14
         50        120       -1.5          0          4     0.9137    0.03478   -0.03549     200.48
         20         30          0        1.5          4     0.8342    0.05779   -0.05472     237.21
         30         35          0        1.5          4     0.8818    0.04652   -0.04619     259.41
         35         40          0        1.5          4     0.9196    0.02275   -0.02284     370.82
         40         50          0        1.5          4     0.9324    0.01419          0     714.39
         50        120          0        1.5          4     0.9707    0.01471    -0.0835     195.39
         20         30        1.5        2.5          4     0.7295     0.0676   -0.06238     140.36
         30         35        1.5        2.5          4     0.7993    0.06185   -0.05852     138.75
         35         40        1.5        2.5          4     0.6816    0.03575   -0.03611     205.41
         40         50        1.5        2.5          4      0.807    0.03013   -0.03086     260.75
         50        120        1.5        2.5          4     0.8292     0.0838   -0.07635     76.629
