#put your comments after a '#'.
#efficiency name: WP95
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.8327     0.8382     0.8273     477.56
         30         35       -2.5       -1.5          4     0.9191     0.9237     0.9145     391.48
         35         40       -2.5       -1.5          4     0.9362     0.9399     0.9325     543.19
         40         50       -2.5       -1.5          4     0.9617     0.9637     0.9597       1019
         50        500       -2.5       -1.5          4     0.9711     0.9787     0.9636     257.37
         20         30       -1.5          0          4     0.8432     0.8465     0.8399     878.61
         30         35       -1.5          0          4     0.9283     0.9309     0.9256     913.58
         35         40       -1.5          0          4      0.946     0.9479     0.9441     1344.5
         40         50       -1.5          0          4     0.9462     0.9474      0.945     2683.4
         50        500       -1.5          0          4     0.9573     0.9608     0.9539     828.45
         20         30          0        1.5          4     0.8981     0.9017     0.8946     866.17
         30         35          0        1.5          4      0.943     0.9455     0.9405     983.29
         35         40          0        1.5          4     0.9557     0.9578     0.9536     1332.6
         40         50          0        1.5          4     0.9642     0.9654      0.963     2704.7
         50        500          0        1.5          4     0.9601     0.9642      0.956     756.36
         20         30        1.5        2.5          4     0.8424      0.847     0.8378     528.42
         30         35        1.5        2.5          4     0.9311      0.935     0.9272      453.7
         35         40        1.5        2.5          4     0.9247     0.9272     0.9222      582.9
         40         50        1.5        2.5          4     0.9563     0.9582     0.9543     1003.9
         50        500        1.5        2.5          4     0.9934     0.9991     0.9879     303.89
