#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den    phistar
100   500  -1.4442 1.4442  0     5     5        0.986304 0.986425 0.986183 904     0
100   500  -1.4442 1.4442  11    102   5        0.989268 0.991609 0.986928 155     0
100   500  -1.4442 1.4442  5     11    5        0.994151 0.994838 0.993464 793     0
100   500  1.566   2.5     0     5     5        0.974437 0.978723 0.970151 47      0
100   500  1.566   2.5     11    102   5        1        1        1        9       0
100   500  1.566   2.5     5     11    5        1        1        1        33      0
100   500  -2.5    -1.566  0     5     5        0.985966 0.991921 0.98001  51.9834 0
100   500  -2.5    -1.566  11    102   5        0.564706 0.6      0.529412 5       0
100   500  -2.5    -1.566  5     11    5        1        1        1        50      0
20    20.5 -1.4442 1.4442  0     5     5        0.73933  0.746218 0.732441 354     0
20    20.5 -1.4442 1.4442  11    102   5        0.2959   0.30919  0.282609 55      0
20    20.5 -1.4442 1.4442  5     11    5        0.564295 0.574373 0.554217 320     0
20    20.5 1.566   2.5     0     5     5        0.736024 0.740113 0.731935 177     0
20    20.5 1.566   2.5     11    102   5        0.411537 0.423073 0.4      25      0
20    20.5 1.566   2.5     5     11    5        0.54894  0.574257 0.523623 101     0
20    20.5 -2.5    -1.566  0     5     5        0.748884 0.765625 0.732143 168     0
20    20.5 -2.5    -1.566  11    102   5        0.257499 0.287223 0.227776 21.7749 0
20    20.5 -2.5    -1.566  5     11    5        0.53897  0.544106 0.533835 133     0
20.5  21   -1.4442 1.4442  0     5     5        0.77318  0.782864 0.763496 462     0
20.5  21   -1.4442 1.4442  11    102   5        0.300635 0.307692 0.293578 95      0
20.5  21   -1.4442 1.4442  5     11    5        0.627088 0.632638 0.621538 395     0
20.5  21   1.566   2.5     0     5     5        0.744179 0.761468 0.726891 218     0
20.5  21   1.566   2.5     11    102   5        0.315273 0.344831 0.285714 14      0
20.5  21   1.566   2.5     5     11    5        0.650746 0.677249 0.624242 165     0
20.5  21   -2.5    -1.566  0     5     5        0.753449 0.759658 0.747241 225.922 0
20.5  21   -2.5    -1.566  11    102   5        0.32268  0.337668 0.307692 26      0
20.5  21   -2.5    -1.566  5     11    5        0.573141 0.597895 0.548387 156     0
21    21.5 -1.4442 1.4442  0     5     5        0.792849 0.804241 0.781457 531     0
21    21.5 -1.4442 1.4442  11    102   5        0.380549 0.3875   0.373598 92      0
21    21.5 -1.4442 1.4442  5     11    5        0.609651 0.614704 0.604598 501     0
21    21.5 1.566   2.5     0     5     5        0.734402 0.736661 0.732143 224     0
21    21.5 1.566   2.5     11    102   5        0.314814 0.333332 0.296296 27      0
21    21.5 1.566   2.5     5     11    5        0.588794 0.589888 0.5877   178     0
21    21.5 -2.5    -1.566  0     5     5        0.763711 0.772401 0.75502  249     0
21    21.5 -2.5    -1.566  11    102   5        0.288094 0.309522 0.266667 30      0
21    21.5 -2.5    -1.566  5     11    5        0.522807 0.524109 0.521505 186     0
21.5  22   -1.4442 1.4442  0     5     5        0.804416 0.815151 0.79368  642     0
21.5  22   -1.4442 1.4442  11    102   5        0.33015  0.338462 0.321839 102     0
21.5  22   -1.4442 1.4442  5     11    5        0.644516 0.649497 0.639535 502     0
21.5  22   1.566   2.5     0     5     5        0.829212 0.852101 0.806324 253     0
21.5  22   1.566   2.5     11    102   5        0.360183 0.389161 0.331204 32.9783 0
21.5  22   1.566   2.5     5     11    5        0.636579 0.638298 0.63486  188     0
21.5  22   -2.5    -1.566  0     5     5        0.778503 0.780392 0.776614 255     0
21.5  22   -2.5    -1.566  11    102   5        0.489737 0.539474 0.44     25      0
21.5  22   -2.5    -1.566  5     11    5        0.52742  0.529125 0.525714 175     0
22    22.5 -1.4442 1.4442  0     5     5        0.839122 0.84333  0.834915 630     0
22    22.5 -1.4442 1.4442  11    102   5        0.36093  0.361912 0.359949 115.781 0
22    22.5 -1.4442 1.4442  5     11    5        0.648119 0.654447 0.641791 558     0
22    22.5 1.566   2.5     0     5     5        0.774625 0.776341 0.772908 251     0
22    22.5 1.566   2.5     11    102   5        0.280539 0.293163 0.267915 26.9271 0
22    22.5 1.566   2.5     5     11    5        0.623682 0.632391 0.614973 187     0
22    22.5 -2.5    -1.566  0     5     5        0.811176 0.817755 0.804598 261     0
22    22.5 -2.5    -1.566  11    102   5        0.286992 0.309278 0.264706 34      0
22    22.5 -2.5    -1.566  5     11    5        0.608682 0.620087 0.597276 230     0
22.5  23   -1.4442 1.4442  0     5     5        0.828246 0.836423 0.820069 693     0
22.5  23   -1.4442 1.4442  11    102   5        0.373171 0.38427  0.362072 109.638 0
22.5  23   -1.4442 1.4442  5     11    5        0.669073 0.67087  0.667276 639     0
22.5  23   1.566   2.5     0     5     5        0.77518  0.784403 0.765957 282     0
22.5  23   1.566   2.5     11    102   5        0.424497 0.448995 0.4      35      0
22.5  23   1.566   2.5     5     11    5        0.564482 0.569892 0.559071 186     0
22.5  23   -2.5    -1.566  0     5     5        0.772833 0.772939 0.772727 286     0
22.5  23   -2.5    -1.566  11    102   5        0.376726 0.382022 0.371429 35      0
22.5  23   -2.5    -1.566  5     11    5        0.572144 0.57825  0.566038 212     0
23    23.5 -1.4442 1.4442  0     5     5        0.818092 0.824455 0.811728 773     0
23    23.5 -1.4442 1.4442  11    102   5        0.491791 0.504949 0.478632 129     0
23    23.5 -1.4442 1.4442  5     11    5        0.64341  0.653487 0.633333 703     0
23    23.5 1.566   2.5     0     5     5        0.816448 0.81843  0.814465 319     0
23    23.5 1.566   2.5     11    102   5        0.346701 0.43451  0.258892 33.6475 0
23    23.5 1.566   2.5     5     11    5        0.585296 0.592117 0.578475 223     0
23    23.5 -2.5    -1.566  0     5     5        0.820635 0.823088 0.818182 286     0
23    23.5 -2.5    -1.566  11    102   5        0.446126 0.487997 0.404255 47      0
23    23.5 -2.5    -1.566  5     11    5        0.573149 0.57749  0.568807 218     0
23.5  24   -1.4442 1.4442  0     5     5        0.848727 0.855973 0.841481 810     0
23.5  24   -1.4442 1.4442  11    102   5        0.405179 0.411862 0.398496 154     0
23.5  24   -1.4442 1.4442  5     11    5        0.685994 0.6937   0.678288 726     0
23.5  24   1.566   2.5     0     5     5        0.754829 0.754955 0.754704 327     0
23.5  24   1.566   2.5     11    102   5        0.416419 0.424242 0.408596 33      0
23.5  24   1.566   2.5     5     11    5        0.561078 0.568649 0.553506 213.971 0
23.5  24   -2.5    -1.566  0     5     5        0.786287 0.788968 0.783607 306     0
23.5  24   -2.5    -1.566  11    102   5        0.191007 0.311054 0.070960 37      0
23.5  24   -2.5    -1.566  5     11    5        0.582742 0.589372 0.576113 207     0
24    24.5 -1.4442 1.4442  0     5     5        0.841734 0.849907 0.833561 858     0
24    24.5 -1.4442 1.4442  11    102   5        0.446931 0.447205 0.446657 179     0
24    24.5 -1.4442 1.4442  5     11    5        0.71295  0.722753 0.703146 830     0
24    24.5 1.566   2.5     0     5     5        0.836303 0.851852 0.820755 318     0
24    24.5 1.566   2.5     11    102   5        0.34191  0.379976 0.303843 38.8605 0
24    24.5 1.566   2.5     5     11    5        0.634084 0.649746 0.618421 228     0
24    24.5 -2.5    -1.566  0     5     5        0.798358 0.801105 0.795612 362     0
24    24.5 -2.5    -1.566  11    102   5        0.325002 0.333333 0.31667  42      0
24    24.5 -2.5    -1.566  5     11    5        0.529592 0.530696 0.528489 255.952 0
24.5  25   -1.4442 1.4442  0     5     5        0.853745 0.857372 0.850117 985     0
