#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den     phistar
20    25   -1.4442 1.4442  0     5     5        0.679302 0.6962   0.662404 13245.4 0       
25    30   -1.4442 1.4442  0     5     5        0.756066 0.767226 0.744906 24130.6 0       
30    35   -1.4442 1.4442  0     5     5        0.813323 0.819117 0.807529 37737.3 0       
35    40   -1.4442 1.4442  0     5     5        0.851713 0.853696 0.84973  52026.8 0       
40    45   -1.4442 1.4442  0     5     5        0.881838 0.883097 0.88058  61339.3 0       
45    50   -1.4442 1.4442  0     5     5        0.898298 0.900179 0.896416 39445.2 0       
50    55   -1.4442 1.4442  0     5     5        0.904055 0.907111 0.900999 15217.7 0       
55    60   -1.4442 1.4442  0     5     5        0.898126 0.898683 0.89757  7299.91 0       
60    500  -1.4442 1.4442  0     5     5        0.901117 0.90303  0.899205 12162.9 0       
20    25   -1.4442 1.4442  5     11    5        0.515279 0.527982 0.502576 11496   0       
25    30   -1.4442 1.4442  5     11    5        0.630825 0.638599 0.623051 21827.5 0       
30    35   -1.4442 1.4442  5     11    5        0.716609 0.721331 0.711886 34008.6 0       
35    40   -1.4442 1.4442  5     11    5        0.779104 0.780804 0.777404 48411.3 0       
40    45   -1.4442 1.4442  5     11    5        0.833928 0.83515  0.832707 58352.7 0       
45    50   -1.4442 1.4442  5     11    5        0.864161 0.865592 0.86273  38060.1 0       
50    55   -1.4442 1.4442  5     11    5        0.872353 0.873959 0.870748 14746.5 0       
55    60   -1.4442 1.4442  5     11    5        0.873302 0.875497 0.871107 6872.37 0       
60    500  -1.4442 1.4442  5     11    5        0.892322 0.895057 0.889588 11001.1 0       
20    25   -1.4442 1.4442  11    51    5        0.316448 0.328064 0.304831 2205.05 0       
25    30   -1.4442 1.4442  11    51    5        0.448745 0.456293 0.441197 4146    0       
30    35   -1.4442 1.4442  11    51    5        0.562647 0.567583 0.557711 6640    0       
35    40   -1.4442 1.4442  11    51    5        0.661237 0.662171 0.660303 9678.12 0       
40    45   -1.4442 1.4442  11    51    5        0.734131 0.735078 0.733184 12141.8 0       
45    50   -1.4442 1.4442  11    51    5        0.785823 0.787644 0.784003 8131.27 0       
50    55   -1.4442 1.4442  11    51    5        0.809988 0.81328  0.806696 3088.95 0       
55    60   -1.4442 1.4442  11    51    5        0.833322 0.835865 0.830779 1414.28 0       
60    500  -1.4442 1.4442  11    51    5        0.870548 0.875666 0.86543  2067.67 0       
20    25   1.566   2.5     0     5     5        0.520898 0.532678 0.509119 4067.84 0       
25    30   1.566   2.5     0     5     5        0.596801 0.606517 0.587085 6232.53 0       
30    35   1.566   2.5     0     5     5        0.655634 0.66002  0.651248 7915.22 0       
35    40   1.566   2.5     0     5     5        0.687702 0.689175 0.686229 9732.99 0       
40    45   1.566   2.5     0     5     5        0.742021 0.742956 0.741086 10934.2 0       
45    50   1.566   2.5     0     5     5        0.781055 0.783363 0.778748 7047.27 0       
50    55   1.566   2.5     0     5     5        0.799316 0.810748 0.787883 2714.65 0       
55    60   1.566   2.5     0     5     5        0.781723 0.792891 0.770555 1235.34 0       
60    500  1.566   2.5     0     5     5        0.807173 0.812652 0.801694 1856.68 0       
20    25   1.566   2.5     5     11    5        0.348549 0.358074 0.339024 3445.23 0       
25    30   1.566   2.5     5     11    5        0.424252 0.43299  0.415513 5317.02 0       
30    35   1.566   2.5     5     11    5        0.503448 0.507348 0.499547 7190.12 0       
35    40   1.566   2.5     5     11    5        0.552983 0.555897 0.55007  9025.38 0       
40    45   1.566   2.5     5     11    5        0.61556  0.618544 0.612577 10014.3 0       
45    50   1.566   2.5     5     11    5        0.664327 0.664918 0.663736 6554.81 0       
50    55   1.566   2.5     5     11    5        0.662301 0.663366 0.661236 2413.14 0       
55    60   1.566   2.5     5     11    5        0.720184 0.720553 0.719815 1047.79 0       
60    500  1.566   2.5     5     11    5        0.739439 0.747808 0.731071 1606.87 0       
20    25   1.566   2.5     11    51    5        0.168407 0.172858 0.163956 664.459 0       
25    30   1.566   2.5     11    51    5        0.254013 0.255381 0.252645 980.182 0       
30    35   1.566   2.5     11    51    5        0.341618 0.344856 0.33838  1382.5  0       
35    40   1.566   2.5     11    51    5        0.42316  0.424    0.42232  1767.39 0       
40    45   1.566   2.5     11    51    5        0.468597 0.468898 0.468297 1992.24 0       
45    50   1.566   2.5     11    51    5        0.507989 0.51833  0.497648 1334.51 0       
50    55   1.566   2.5     11    51    5        0.543487 0.556472 0.530502 422.371 0       
55    60   1.566   2.5     11    51    5        0.631489 0.636537 0.626442 206.755 0       
60    500  1.566   2.5     11    51    5        0.650352 0.673942 0.626762 326.672 0       
20    25   -2.5    -1.566  0     5     5        0.523822 0.536518 0.511127 4140.92 0       
25    30   -2.5    -1.566  0     5     5        0.577964 0.584825 0.571103 6132.8  0       
30    35   -2.5    -1.566  0     5     5        0.64331  0.64759  0.63903  7945.38 0       
35    40   -2.5    -1.566  0     5     5        0.68263  0.683854 0.681406 9605.99 0       
40    45   -2.5    -1.566  0     5     5        0.731613 0.732489 0.730736 10680.8 0       
45    50   -2.5    -1.566  0     5     5        0.774392 0.777727 0.771058 7120.19 0       
50    55   -2.5    -1.566  0     5     5        0.771467 0.779573 0.763362 2685.57 0       
55    60   -2.5    -1.566  0     5     5        0.795318 0.804389 0.786247 1240.03 0       
60    500  -2.5    -1.566  0     5     5        0.820366 0.822235 0.818497 1796.41 0       
20    25   -2.5    -1.566  5     11    5        0.328486 0.337502 0.319469 3498.51 0       
25    30   -2.5    -1.566  5     11    5        0.407137 0.414467 0.399807 5506.21 0       
30    35   -2.5    -1.566  5     11    5        0.477758 0.481901 0.473615 7182.11 0       
35    40   -2.5    -1.566  5     11    5        0.550991 0.554582 0.5474   8937.24 0       
40    45   -2.5    -1.566  5     11    5        0.612781 0.614261 0.611302 9768.47 0       
45    50   -2.5    -1.566  5     11    5        0.657113 0.660057 0.654169 6603.42 0       
50    55   -2.5    -1.566  5     11    5        0.674343 0.677934 0.670752 2489.68 0       
55    60   -2.5    -1.566  5     11    5        0.70288  0.703934 0.701826 1070.51 0       
60    500  -2.5    -1.566  5     11    5        0.744468 0.748215 0.740722 1544.99 0       
20    25   -2.5    -1.566  11    51    5        0.191831 0.196172 0.187491 645.342 0       
25    30   -2.5    -1.566  11    51    5        0.27973  0.287373 0.272087 1033.76 0       
30    35   -2.5    -1.566  11    51    5        0.326271 0.32914  0.323402 1371.69 0       
35    40   -2.5    -1.566  11    51    5        0.391133 0.39438  0.387885 1806.41 0       
40    45   -2.5    -1.566  11    51    5        0.466258 0.46772  0.464796 1992.39 0       
45    50   -2.5    -1.566  11    51    5        0.548363 0.549659 0.547067 1360.21 0       
50    55   -2.5    -1.566  11    51    5        0.566839 0.567932 0.565746 501.331 0       
55    60   -2.5    -1.566  11    51    5        0.592627 0.614274 0.57098  199.622 0       
60    500  -2.5    -1.566  11    51    5        0.690084 0.694853 0.685315 287.084 0       
