# Ymin, Ymax: boundaries of rapidity bins
# Effect: relative difference of bin content w/o minus w/ migration
#Bin	YMin	YMax	Effect
1	-5.5	-5.25	0
2	-5.25	-5	0
3	-5	-4.75	0
4	-4.75	-4.5	0
5	-4.5	-4.25	0
6	-4.25	-4	0
7	-4	-3.75	0
8	-3.75	-3.5	0.190045
9	-3.5	-3.25	0.065605
10	-3.25	-3	0.0167308
11	-3	-2.75	0.000752543
12	-2.75	-2.5	-0.00550769
13	-2.5	-2.25	0.00662606
14	-2.25	-2	-0.00711179
15	-2	-1.75	-0.00948627
16	-1.75	-1.5	-0.0100897
17	-1.5	-1.25	-0.00386683
18	-1.25	-1	0.000458975
19	-1	-0.75	0.000904916
20	-0.75	-0.5	0.00175489
21	-0.5	-0.25	0.0016585
22	-0.25	0	0.00162582
23	0	0.25	0.000345056
24	0.25	0.5	0.00222545
25	0.5	0.75	0.00128391
26	0.75	1	0.00177431
27	1	1.25	-0.000553008
28	1.25	1.5	-0.0037885
29	1.5	1.75	-0.00948227
30	1.75	2	-0.0101658
31	2	2.25	-0.00453904
32	2.25	2.5	0.00439309
33	2.5	2.75	-0.00554497
34	2.75	3	0.000846545
35	3	3.25	0.0168668
36	3.25	3.5	0.0626718
37	3.5	3.75	0.245572
38	3.75	4	0
39	4	4.25	0
40	4.25	4.5	0
41	4.5	4.75	0
42	4.75	5	0
43	5	5.25	0
44	5.25	5.5	0
