# Ymin, Ymax: boundaries of rapidity bins
# Uncertainty: uncertainty on relative difference of bin content w/o minus w/ migration
#Bin	YMin	YMax	Uncertainty
1	-5.5	-5.25	0
2	-5.25	-5	0
3	-5	-4.75	0
4	-4.75	-4.5	0
5	-4.5	-4.25	0
6	-4.25	-4	0
7	-4	-3.75	0
8	-3.75	-3.5	0.139616
9	-3.5	-3.25	0.0388845
10	-3.25	-3	0.0224174
11	-3	-2.75	0.0158387
12	-2.75	-2.5	0.0177074
13	-2.5	-2.25	0.0179308
14	-2.25	-2	0.0116045
15	-2	-1.75	0.00906724
16	-1.75	-1.5	0.00739198
17	-1.5	-1.25	0.00676464
18	-1.25	-1	0.0064355
19	-1	-0.75	0.00622192
20	-0.75	-0.5	0.00591789
21	-0.5	-0.25	0.00561414
22	-0.25	0	0.00536968
23	0	0.25	0.00541108
24	0.25	0.5	0.00556801
25	0.5	0.75	0.00596783
26	0.75	1	0.00628911
27	1	1.25	0.00645241
28	1.25	1.5	0.0067846
29	1.5	1.75	0.00735396
30	1.75	2	0.009152
31	2	2.25	0.0115672
32	2.25	2.5	0.0178876
33	2.5	2.75	0.017674
34	2.75	3	0.0158957
35	3	3.25	0.0224245
36	3.25	3.5	0.039041
37	3.5	3.75	0.123621
38	3.75	4	0
39	4	4.25	0
40	4.25	4.5	0
41	4.5	4.75	0
42	4.75	5	0
43	5	5.25	0
44	5.25	5.5	0
