#    PtBin     PtMin     PtMax      Value     Error
         
        1       0.0       2.5       659     25.6710
        2       2.5       5.0      1365     36.9459
        3       5.0       7.5      1320     36.3318
        4       7.5      10.0      1103     33.2114
        5      10.0      12.5       913     30.2159
        6      12.5      15.0       696     26.3818
        7      15.0      17.5       548     23.4094
        8      17.5      20.0       438     20.9284
        9      20.0      30.0      1203     34.6843
       10      30.0      40.0       558     23.6220
       11      40.0      50.0       321     17.9165
       12      50.0      70.0       371     19.2614
       13      70.0      90.0       159     12.6095
       14      90.0     110.0        91      9.5394
       15     110.0     150.0        85      9.2195
       16     150.0     190.0        20      4.4721
       17     190.0     250.0        12      3.4641
       18     250.0     600.0         3      1.7321
       19     600.0    3500.0         0      0.0000
