# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8          0          0
        13       -3.8       -3.7          0          0
        14       -3.7       -3.6          0          0
        15       -3.6       -3.5          0          0
        16       -3.5       -3.4          0          0
        17       -3.4       -3.3          0          0
        18       -3.3       -3.2          0          0
        19       -3.2       -3.1          0          0
        20       -3.1         -3          0          0
        21         -3       -2.9          0          0
        22       -2.9       -2.8          0          0
        23       -2.8       -2.7          0          0
        24       -2.7       -2.6          0          0
        25       -2.6       -2.5          0          0
        26       -2.5       -2.4         10    3.16228
        27       -2.4       -2.3         41    6.40312
        28       -2.3       -2.2         67    8.18535
        29       -2.2       -2.1         76     8.7178
        30       -2.1         -2        109    10.4403
        31         -2       -1.9        117    10.8167
        32       -1.9       -1.8        107    10.3441
        33       -1.8       -1.7        156      12.49
        34       -1.7       -1.6        158    12.5698
        35       -1.6       -1.5        176    13.2665
        36       -1.5       -1.4        197    14.0357
        37       -1.4       -1.3        216    14.6969
        38       -1.3       -1.2        228    15.0997
        39       -1.2       -1.1        229    15.1327
        40       -1.1         -1        212    14.5602
        41         -1       -0.9        214    14.6287
        42       -0.9       -0.8        244    15.6205
        43       -0.8       -0.7        227    15.0665
        44       -0.7       -0.6        257    16.0312
        45       -0.6       -0.5        274    16.5529
        46       -0.5       -0.4        271    16.4621
        47       -0.4       -0.3        275    16.5831
        48       -0.3       -0.2        247    15.7162
        49       -0.2       -0.1        271    16.4621
        50       -0.1          0        284    16.8523
        51          0        0.1        297    17.2337
        52        0.1        0.2        252    15.8745
        53        0.2        0.3        290    17.0294
        54        0.3        0.4        275    16.5831
        55        0.4        0.5        251     15.843
        56        0.5        0.6        249    15.7797
        57        0.6        0.7        274    16.5529
        58        0.7        0.8        246    15.6844
        59        0.8        0.9        255    15.9687
        60        0.9          1        242    15.5563
        61          1        1.1        235    15.3297
        62        1.1        1.2        234    15.2971
        63        1.2        1.3        223    14.9332
        64        1.3        1.4        201    14.1774
        65        1.4        1.5        179    13.3791
        66        1.5        1.6        208    14.4222
        67        1.6        1.7        166    12.8841
        68        1.7        1.8        159    12.6095
        69        1.8        1.9        142    11.9164
        70        1.9          2        103    10.1489
        71          2        2.1        110    10.4881
        72        2.1        2.2         89    9.43398
        73        2.2        2.3         65    8.06226
        74        2.3        2.4         30    5.47723
        75        2.4        2.5          7    2.64575
        76        2.5        2.6          0          0
        77        2.6        2.7          0          0
        78        2.7        2.8          0          0
        79        2.8        2.9          0          0
        80        2.9          3          0          0
        81          3        3.1          0          0
        82        3.1        3.2          0          0
        83        3.2        3.3          0          0
        84        3.3        3.4          0          0
        85        3.4        3.5          0          0
        86        3.5        3.6          0          0
        87        3.6        3.7          0          0
        88        3.7        3.8          0          0
        89        3.8        3.9          0          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
