#    ptBin     ptMin     ptMax   Value     Error
       1      -5.0      -4.9     0.00      0.00
       2      -4.9      -4.8     0.00      0.00
       3      -4.8      -4.7     0.00      0.00
       4      -4.7      -4.6     0.00      0.00
       5      -4.6      -4.5     0.00      0.00
       6      -4.5      -4.4     0.00      0.00
       7      -4.4      -4.3     0.00      0.00
       8      -4.3      -4.2     0.00      0.00
       9      -4.2      -4.1     0.00      0.00
      10      -4.1      -4.0     0.00      0.00
      11      -4.0      -3.9     0.00      0.00
      12      -3.9      -3.8     0.00      0.00
      13      -3.8      -3.7     0.00      0.00
      14      -3.7      -3.6     1.00      1.00
      15      -3.6      -3.5     2.00      1.41
      16      -3.5      -3.4     5.00      2.24
      17      -3.4      -3.3     8.00      2.83
      18      -3.3      -3.2    16.00      4.00
      19      -3.2      -3.1    45.00      6.71
      20      -3.1      -3.0    51.00      7.14
      21      -3.0      -2.9    69.00      8.31
      22      -2.9      -2.8   103.00     10.15
      23      -2.8      -2.7   103.00     10.15
      24      -2.7      -2.6    93.00      9.64
      25      -2.6      -2.5    70.00      8.37
      26      -2.5      -2.4    64.00      8.00
      27      -2.4      -2.3    55.00      7.42
      28      -2.3      -2.2    45.00      6.71
      29      -2.2      -2.1    43.00      6.56
      30      -2.1      -2.0    19.00      4.36
      31      -2.0      -1.9    13.00      3.61
      32      -1.9      -1.8    10.00      3.16
      33      -1.8      -1.7     6.00      2.45
      34      -1.7      -1.6     1.00      1.00
      35      -1.6      -1.5     1.00      1.00
      36      -1.5      -1.4     0.00      0.00
      37      -1.4      -1.3     0.00      0.00
      38      -1.3      -1.2     0.00      0.00
      39      -1.2      -1.1     0.00      0.00
      40      -1.1      -1.0     0.00      0.00
      41      -1.0      -0.9     0.00      0.00
      42      -0.9      -0.8     0.00      0.00
      43      -0.8      -0.7     0.00      0.00
      44      -0.7      -0.6     0.00      0.00
      45      -0.6      -0.5     0.00      0.00
      46      -0.5      -0.4     0.00      0.00
      47      -0.4      -0.3     0.00      0.00
      48      -0.3      -0.2     0.00      0.00
      49      -0.2      -0.1     0.00      0.00
      50      -0.1       0.0     0.00      0.00
      51       0.0       0.1     0.00      0.00
      52       0.1       0.2     0.00      0.00
      53       0.2       0.3     0.00      0.00
      54       0.3       0.4     0.00      0.00
      55       0.4       0.5     0.00      0.00
      56       0.5       0.6     0.00      0.00
      57       0.6       0.7     0.00      0.00
      58       0.7       0.8     0.00      0.00
      59       0.8       0.9     0.00      0.00
      60       0.9       1.0     0.00      0.00
      61       1.0       1.1     0.00      0.00
      62       1.1       1.2     0.00      0.00
      63       1.2       1.3     0.00      0.00
      64       1.3       1.4     0.00      0.00
      65       1.4       1.5     1.00      1.00
      66       1.5       1.6     1.00      1.00
      67       1.6       1.7     2.00      1.41
      68       1.7       1.8     3.00      1.73
      69       1.8       1.9    11.00      3.32
      70       1.9       2.0    19.00      4.36
      71       2.0       2.1    32.00      5.66
      72       2.1       2.2    44.00      6.63
      73       2.2       2.3    42.00      6.48
      74       2.3       2.4    43.00      6.56
      75       2.4       2.5    44.00      6.63
      76       2.5       2.6    72.00      8.49
      77       2.6       2.7    85.00      9.22
      78       2.7       2.8   110.00     10.49
      79       2.8       2.9    89.00      9.43
      80       2.9       3.0    58.00      7.62
      81       3.0       3.1    52.00      7.21
      82       3.1       3.2    48.00      6.93
      83       3.2       3.3    20.00      4.47
      84       3.3       3.4    13.00      3.61
      85       3.4       3.5     7.00      2.65
      86       3.5       3.6     3.00      1.73
      87       3.6       3.7     0.00      0.00
      88       3.7       3.8     0.00      0.00
      89       3.8       3.9     0.00      0.00
      90       3.9       4.0     0.00      0.00
      91       4.0       4.1     0.00      0.00
      92       4.1       4.2     0.00      0.00
      93       4.2       4.3     0.00      0.00
      94       4.3       4.4     0.00      0.00
      95       4.4       4.5     0.00      0.00
      96       4.5       4.6     0.00      0.00
      97       4.6       4.7     0.00      0.00
      98       4.7       4.8     0.00      0.00
      99       4.8       4.9     0.00      0.00
     100       4.9       5.0     0.00      0.00
