# Comparison of background expecations to actual numbers
# (bdahmes, 22.05.09, lumi=100 pb^{-1})
# bgLin = Background expectation in [70,110) assuming background is P1
# bgExp = Same as bgLin, but exponential background model
# bgAct = Actual number of background events
# |L-E| = Abs val of difference between linear, exp estimates 
# bin   Ylo     Yhi    bgLin   bgExp   bgAct   |L-E|
   8   -3.75   -3.50    0.00    0.00    0.00    0.00
   9   -3.50   -3.25   23.95    2.16   20.00   21.78
  10   -3.25   -3.00  143.79  134.89  178.00    8.90
  11   -3.00   -2.75  252.38  230.29  304.00   22.09
  12   -2.75   -2.50  294.36  236.02  300.00   58.34
  13   -2.50   -2.25  331.89  313.53  297.00   18.35
  14   -2.25   -2.00  374.78  357.30  296.00   17.49
  15   -2.00   -1.75  141.34  103.32   72.00   38.02
  16   -1.75   -1.50   59.32   59.95   93.00    0.63
  17   -1.50   -1.25  105.40   64.26   29.00   41.13
  18   -1.25   -1.00   72.22   29.63    9.00   42.60
  19   -1.00   -0.75   47.16   33.68   39.00   13.47
  20   -0.75   -0.50  140.54  105.45   57.00   35.09
  21   -0.50   -0.25  162.52   97.22   42.00   65.30
  22   -0.25    0.00  133.80  109.78   68.00   24.02
  23    0.00    0.25  196.85   99.52   38.00   97.34
  24    0.25    0.50  117.27   84.54   72.00   32.73
  25    0.50    0.75  128.67   89.27   67.00   39.41
  26    0.75    1.00  124.52   56.00   38.00   68.52
  27    1.00    1.25  153.50   76.18    4.00   77.33
  28    1.25    1.50    0.00   53.94   30.00   53.94
  29    1.50    1.75  111.36   99.91   59.00   11.46
  30    1.75    2.00  253.68  216.90  165.00   36.78
  31    2.00    2.25  307.99  302.54  327.00    5.45
  32    2.25    2.50  221.04  211.48  227.00    9.56
  33    2.50    2.75  475.52  459.13  391.00   16.39
  34    2.75    3.00  169.35  169.17  234.00    0.18
  35    3.00    3.25   70.26   70.60  116.00    0.34
  36    3.25    3.50   10.59    1.80    7.00    8.79
  37    3.50    3.75    3.75    0.72    0.00    3.04
