#put your comments after a '#'.
#Variable name: rap
#    RapBin     RapMin     RapMax      Value     Error
         26       -2.5       -2.4      3.409       1.26
         27       -2.4       -2.3  3.498e-05      12.35
         28       -2.3       -2.2      1.627      1.639
         29       -2.2       -2.1      2.165      1.882
         30       -2.1         -2   5.27e-08      1.183
         31         -2       -1.9      1.446      2.343
         32       -1.9       -1.8      1.589      2.674
         33       -1.8       -1.7  1.487e-08      1.357
         34       -1.7       -1.6      1.522      2.979
         35       -1.6       -1.5     0.2156      12.25
         36       -1.5       -1.4  0.0008333       10.6
         37       -1.4       -1.3      14.09      5.369
         38       -1.3       -1.2      2.459       4.26
         39       -1.2       -1.1      1.571      4.267
         40       -1.1         -1      9.446      4.691
         41         -1       -0.9      4.861      3.875
         42       -0.9       -0.8      1.229      3.965
         43       -0.8       -0.7      1.282      3.511
         44       -0.7       -0.6      5.932      4.197
         45       -0.6       -0.5  3.312e-05      3.765
         46       -0.5       -0.4       2.68      4.302
         47       -0.4       -0.3      15.06      5.476
         48       -0.3       -0.2      2.741      4.503
         49       -0.2       -0.1      1.749      4.811
         50       -0.1          0     0.2074      24.35
         51          0        0.1      4.728      4.741
         52        0.1        0.2      2.749      4.547
         53        0.2        0.3      2.533      4.583
         54        0.3        0.4      4.195      4.847
         55        0.4        0.5      5.642      4.513
         56        0.5        0.6      1.627      4.028
         57        0.6        0.7      3.493      4.172
         58        0.7        0.8      8.142      4.672
         59        0.8        0.9       1.89      4.269
         60        0.9          1  4.681e-08      2.107
         61          1        1.1      1.057       4.48
         62        1.1        1.2  2.569e-08      1.911
         63        1.2        1.3      6.269      4.916
         64        1.3        1.4      6.201      4.261
         65        1.4        1.5      1.166      3.566
         66        1.5        1.6  2.913e-07      2.003
         67        1.6        1.7      5.168       3.68
         68        1.7        1.8      4.687      3.702
         69        1.8        1.9  1.822e-07      1.921
         70        1.9          2      2.233      2.317
         71          2        2.1      4.461      2.589
         72        2.1        2.2       1.02      1.557
         73        2.2        2.3     0.4585      1.343
         74        2.3        2.4  3.196e-06      1.478
         75        2.4        2.5      1.151     0.9672
