#put your comments after a '#'.
#Variable name: hfrap
#    RapBin     RapMin     RapMax      Value     Error
         14       -3.7       -3.6      0     0.2
         15       -3.6       -3.5      0     0.4785
         16       -3.5       -3.4      0     0.2
         17       -3.4       -3.3      0    0.02822
         18       -3.3       -3.2      0     0.7094
         19       -3.2       -3.1      2.844      2.659
         20       -3.1         -3      0     0.3768
         21         -3       -2.9      9.142      3.609
         22       -2.9       -2.8      12.57      4.078
         23       -2.8       -2.7      12.08       4.44
         24       -2.7       -2.6      5.308      3.796
         25       -2.6       -2.5      10.11      4.698
         26       -2.5       -2.4      6.756      3.947
         27       -2.4       -2.3      10.74      5.048
         28       -2.3       -2.2      5.221      3.268
         29       -2.2       -2.1      3.762      2.884
         30       -2.1         -2      0	  1.0
         31         -2       -1.9      0          .05
         32       -1.9       -1.8      0.7875     0.6307
         33       -1.8       -1.7       0     0.2352
         34       -1.7       -1.6       0  0.4
         35       -1.6       -1.5       0     0.2232
         36       -1.5       -1.4       0     0.1667
         37       -1.4       -1.3       0  0.3
         38       -1.3       -1.2       0  0.2
         65        1.4        1.5       0  0.1
         66        1.5        1.6       0     0.1669
         67        1.6        1.7       0      2.305
         68        1.7        1.8       0     0.2382
         69        1.8        1.9      1.431      2.145
         70        1.9          2       0     0.2977
         71          2        2.1       0     0.3208
         72        2.1        2.2      5.396      3.539
         73        2.2        2.3      2.132      3.668
         74        2.3        2.4      4.623      3.602
         75        2.4        2.5      5.969      3.512
         76        2.5        2.6       0      1.195
         77        2.6        2.7      12.96      4.374
         78        2.7        2.8      10.41      4.177
         79        2.8        2.9      8.131      3.807
         80        2.9          3      2.187      2.739
         81          3        3.1      6.997       3.48
         82        3.1        3.2      9.631      3.906
         83        3.2        3.3      0     0.4311
         84        3.3        3.4      0      1
         85        3.4        3.5      0    1
         86        3.5        3.6      0    1
         87        3.6        3.7      0      4.119
