#put your comments after a '#'.
#Variable name: pt
#    PtBin     PtMin     PtMax      Value     Error
          1          0        2.5      45.06      9.183
          2        2.5          5      53.52      8.866
          3          5        7.5      125.7      23.48
          4        7.5         10      90.89      16.27
          5         10       12.5      103.3      20.46
          6       12.5         15       74.2      19.36
          7         15       17.5      85.01      16.09
          8       17.5         20         46      12.34
          9         20         30      171.2      24.53
         10         30         40      29.87      11.01
         11         40         50      19.68      5.292
         12         50         70      29.17      8.997
         13         70         90      21.92      11.15
         14         90        110     0.2197     0.1952
         15        110        150      4.657       4.24
         16        150        190          0          0   
         17        190        250          0          0 
         18        250        600          0          0 
