# Comparison of background expecations to actual numbers
# (bdahmes, 23.05.09, lumi=10 pb^{-1})
# bgExp = BG expectation in [70,110), exponential background model
# bgExpErr = Uncertainty on bgExp values
# bgLin = Same as bgExp, assuming background is P1
# bgLinErr = Uncertainty on bgLin values
# bgA = Actual number of background events
# E-A/S+B = Expectation (exponential) - Actual, divided by signal + background
#           A and B are the same in this case
# |L-E| = Abs val of difference between linear, exp estimates 
# bin   Ylo       Yhi     bgExp  bgExpErr   bgA  E-A/S+B    bgLin  bgLinErr   |L-E|
   8    -3.75    -3.50      0.0      0.0      0      nan      0.0      0.0      0.0 
   9    -3.50    -3.25      5.2      0.0      0    0.323      3.4      9.7      1.8 
  10    -3.25    -3.00      9.2      0.9     13   -0.067      6.0      6.0      3.2 
  11    -3.00    -2.75     38.0     10.6     24    0.110     16.6      6.3     21.4 
  12    -2.75    -2.50     19.3      3.3     32   -0.118     29.2     23.4      9.9 
  13    -2.50    -2.25     18.4     14.5     31   -0.102     16.6     14.1      1.8 
  14    -2.25    -2.00     35.3      6.6     19    0.136     38.7      5.4      3.4 
  15    -2.00    -1.75     34.1      6.0     14    0.131     35.0      3.2      0.9 
  16    -1.75    -1.50     23.9      2.5     10    0.081     19.4      4.3      4.5 
  17    -1.50    -1.25      6.2      0.0      6    0.001      7.1      6.9      0.8 
  18    -1.25    -1.00      0.0      0.0      2   -0.008      0.0      0.0      0.0 
  19    -1.00    -0.75      0.0      0.0      0    0.000      0.0      0.0      0.0 
  20    -0.75    -0.50      0.0      0.0      3   -0.013      0.0      0.0      0.0 
  21    -0.50    -0.25     21.4      0.0      5    0.069     24.2      3.0      2.8 
  22    -0.25     0.00      0.0      0.0      4   -0.015      0.0      0.0      0.0 
  23     0.00     0.25      7.3      0.0      0    0.027      7.1      9.5      0.1 
  24     0.25     0.50      0.0      0.0      0    0.000      0.0      0.0      0.0 
  25     0.50     0.75     12.3      0.0      6    0.025     13.8      6.0      1.5 
  26     0.75     1.00      0.0      0.0      1   -0.004      0.0     44.0      0.0 
  27     1.00     1.25      0.0      0.0      2   -0.009      0.0     21.2      0.0 
  28     1.25     1.50     14.5      0.0      7    0.036     15.9      2.6      1.4 
  29     1.50     1.75      0.0      0.0      6   -0.033      0.3      0.1      0.3 
  30     1.75     2.00     23.4      4.1     16    0.049     21.0      3.8      2.4 
  31     2.00     2.25     35.3      9.2     19    0.125     35.1     11.2      0.2 
  32     2.25     2.50     43.9      9.3     25    0.207     36.5     13.7      7.4 
  33     2.50     2.75     36.2      2.6     33    0.028     21.8     25.5     14.4 
  34     2.75     3.00     27.4      6.5     16    0.107     25.9     11.6      1.5 
  35     3.00     3.25     13.7      0.0      9    0.093     17.4     11.6      3.7 
  36     3.25     3.50      3.2      0.0      1    0.113      3.0      1.3      0.2 
  37     3.50     3.75      0.0      0.0      0      nan      0.0      0.0      0.0 
