#put your comments after a #'.
#Variable name: hfrap   
# RapBin RapMin RapMax Value Error
 16 -3.5 -3.4 1.365 2.955
 17 -3.4 -3.3 0.773 2.474
 18 -3.3 -3.2 0.941 1.235
 19 -3.2 -3.1 2.397 2.871
 20 -3.1 -3 4.178 2.742
 21 -3 -2.9 8.517 3.574
 22 -2.9 -2.8 10.17 3.95
 23 -2.8 -2.7 9.409 4.264
 24 -2.7 -2.6 6.411 4.096
 25 -2.6 -2.5 8.41 4.772
 26 -2.5 -2.4 6.248 4.164
 27 -2.4 -2.3 8.532 4.93
 28 -2.3 -2.2 6.148 3.645
 29 -2.2 -2.1 4.615 2.879
 30 -2.1 -2 3.429 2.697
 31 -2 -1.9 0.325 1.037
 32 -1.9 -1.8 1.343 1.505
 33 -1.8 -1.7 2.14 1.459
 34 -1.7 -1.6 0.4 0.9201
 35 -1.6 -1.5 0.7898 0.5799
 36 -1.5 -1.4 0.3332 0.3332
 37 -1.4 -1.3 0.6685 0.4724
 38 -1.3 -1.2 0.0006396 0.8088
 65 1.4 1.5 0.3351 0.3351
 66 1.5 1.6 0.5734 0.565
 67 1.6 1.7 0.7253 0.9814
 68 1.7 1.8 0.4744 1.203
 69 1.8 1.9 1.4029 2.009
 70 1.9 2 0.9080 2.429
 71 2 2.1 1.0871 1.93
 72 2.1 2.2 6.9979 3.702
 73 2.2 2.3 4.2137 4.213
 74 2.3 2.4 5.9069 3.712
 75 2.4 2.5 9.8391 4.314
 76 2.5 2.6 5.5014 4.136
 77 2.6 2.7 11.5813 4.35
 78 2.7 2.8 9.6297 4.238
 79 2.8 2.9 7.7993 3.777
 80 2.9 3 1.5414 2.748
 81 3 3.1 3.2382 3.291
 82 3.1 3.2 1.6398 3.893
 83 3.2 3.3 0.9524 1.968
 84 3.3 3.4 0.8595 1.811
 85 3.4 3.5 1.2500 2.226
