#    ptBin     ptMin     ptMax   Value     Error
       1       0.0       2.5     3.58      1.01
       2       2.5       5.0     9.36      2.11
       3       5.0       7.5    11.41      2.48
       4       7.5      10.0     8.68      1.98
       5      10.0      12.5     7.66      1.79
       6      12.5      15.0     7.49      1.76
       7      15.0      17.5     6.30      1.54
       8      17.5      20.0     5.96      1.47
       9      20.0      30.0    10.05      2.23
      10      30.0      40.0     3.41      0.98
      11      40.0      50.0     2.04      0.70
      12      50.0      70.0     1.70      0.62
      13      70.0      90.0     0.51      0.31
      14      90.0     110.0     0.34      0.25
      15     110.0     150.0     0.17      0.17
      16     150.0     190.0     0.00      0.00
      17     190.0     250.0     0.00      0.00
      18     250.0     600.0     0.00      0.00
