#    ptBin     ptMin     ptMax   Value     Error
       1      -5.0      -4.9     0.00      0.00
       2      -4.9      -4.8     0.00      0.00
       3      -4.8      -4.7     0.00      0.00
       4      -4.7      -4.6     0.00      0.00
       5      -4.6      -4.5     0.00      0.00
       6      -4.5      -4.4     0.00      0.00
       7      -4.4      -4.3     0.00      0.00
       8      -4.3      -4.2     0.00      0.00
       9      -4.2      -4.1     0.00      0.00
      10      -4.1      -4.0     0.00      0.00
      11      -4.0      -3.9     0.00      0.00
      12      -3.9      -3.8     0.00      0.00
      13      -3.8      -3.7     0.00      0.00
      14      -3.7      -3.6     0.00      0.00
      15      -3.6      -3.5     0.00      0.00
      16      -3.5      -3.4     0.00      0.00
      17      -3.4      -3.3     0.00      0.00
      18      -3.3      -3.2     0.00      0.00
      19      -3.2      -3.1     0.00      0.00
      20      -3.1      -3.0     0.00      0.00
      21      -3.0      -2.9     0.00      0.00
      22      -2.9      -2.8     0.00      0.00
      23      -2.8      -2.7     0.00      0.00
      24      -2.7      -2.6     0.00      0.00
      25      -2.6      -2.5     0.00      0.00
      26      -2.5      -2.4     0.51      0.30
      27      -2.4      -2.3     0.85      0.39
      28      -2.3      -2.2     0.34      0.24
      29      -2.2      -2.1     0.68      0.35
      30      -2.1      -2.0     1.36      0.50
      31      -2.0      -1.9     0.85      0.39
      32      -1.9      -1.8     1.02      0.43
      33      -1.8      -1.7     1.02      0.43
      34      -1.7      -1.6     2.04      0.63
      35      -1.6      -1.5     2.55      0.72
      36      -1.5      -1.4     1.70      0.57
      37      -1.4      -1.3     2.72      0.74
      38      -1.3      -1.2     2.21      0.66
      39      -1.2      -1.1     1.87      0.60
      40      -1.1      -1.0     2.72      0.74
      41      -1.0      -0.9     2.38      0.69
      42      -0.9      -0.8     2.21      0.66
      43      -0.8      -0.7     2.04      0.63
      44      -0.7      -0.6     1.70      0.57
      45      -0.6      -0.5     2.38      0.69
      46      -0.5      -0.4     3.75      0.90
      47      -0.4      -0.3     2.72      0.74
      48      -0.3      -0.2     1.87      0.60
      49      -0.2      -0.1     3.06      0.80
      50      -0.1       0.0     2.04      0.63
      51       0.0       0.1     2.89      0.77
      52       0.1       0.2     3.06      0.80
      53       0.2       0.3     2.21      0.66
      54       0.3       0.4     3.24      0.82
      55       0.4       0.5     2.72      0.74
      56       0.5       0.6     4.26      0.97
      57       0.6       0.7     2.38      0.69
      58       0.7       0.8     2.04      0.63
      59       0.8       0.9     2.72      0.74
      60       0.9       1.0     3.06      0.80
      61       1.0       1.1     1.87      0.60
      62       1.1       1.2     2.04      0.63
      63       1.2       1.3     1.53      0.54
      64       1.3       1.4     0.68      0.35
      65       1.4       1.5     2.72      0.74
      66       1.5       1.6     2.04      0.63
      67       1.6       1.7     2.04      0.63
      68       1.7       1.8     1.02      0.43
      69       1.8       1.9     1.02      0.43
      70       1.9       2.0     1.87      0.60
      71       2.0       2.1     1.70      0.57
      72       2.1       2.2     1.70      0.57
      73       2.2       2.3     1.02      0.43
      74       2.3       2.4     0.34      0.24
      75       2.4       2.5     0.34      0.24
      76       2.5       2.6     0.00      0.00
      77       2.6       2.7     0.00      0.00
      78       2.7       2.8     0.00      0.00
      79       2.8       2.9     0.00      0.00
      80       2.9       3.0     0.00      0.00
      81       3.0       3.1     0.00      0.00
      82       3.1       3.2     0.00      0.00
      83       3.2       3.3     0.00      0.00
      84       3.3       3.4     0.00      0.00
      85       3.4       3.5     0.00      0.00
      86       3.5       3.6     0.00      0.00
      87       3.6       3.7     0.00      0.00
      88       3.7       3.8     0.00      0.00
      89       3.8       3.9     0.00      0.00
      90       3.9       4.0     0.00      0.00
      91       4.0       4.1     0.00      0.00
      92       4.1       4.2     0.00      0.00
      93       4.2       4.3     0.00      0.00
      94       4.3       4.4     0.00      0.00
      95       4.4       4.5     0.00      0.00
      96       4.5       4.6     0.00      0.00
      97       4.6       4.7     0.00      0.00
      98       4.7       4.8     0.00      0.00
      99       4.8       4.9     0.00      0.00
     100       4.9       5.0     0.00      0.00
