#    ptBin     ptMin     ptMax   Value     Error
       1      -5.0      -4.9     0.00      0.00
       2      -4.9      -4.8     0.00      0.00
       3      -4.8      -4.7     0.00      0.00
       4      -4.7      -4.6     0.00      0.00
       5      -4.6      -4.5     0.00      0.00
       6      -4.5      -4.4     0.00      0.00
       7      -4.4      -4.3     0.00      0.00
       8      -4.3      -4.2     0.00      0.00
       9      -4.2      -4.1     0.00      0.00
      10      -4.1      -4.0     0.00      0.00
      11      -4.0      -3.9     0.00      0.00
      12      -3.9      -3.8     0.00      0.00
      13      -3.8      -3.7     0.00      0.00
      14      -3.7      -3.6     0.00      0.00
      15      -3.6      -3.5     0.00      0.00
      16      -3.5      -3.4     0.00      0.00
      17      -3.4      -3.3     0.00      0.00
      18      -3.3      -3.2     0.02      0.02
      19      -3.2      -3.1     0.05      0.03
      20      -3.1      -3.0     0.16      0.06
      21      -3.0      -2.9     0.34      0.10
      22      -2.9      -2.8     0.36      0.10
      23      -2.8      -2.7     0.59      0.13
      24      -2.7      -2.6     0.27      0.08
      25      -2.6      -2.5     0.27      0.08
      26      -2.5      -2.4     0.18      0.07
      27      -2.4      -2.3     0.25      0.08
      28      -2.3      -2.2     0.07      0.04
      29      -2.2      -2.1     0.00      0.00
      30      -2.1      -2.0     0.02      0.02
      31      -2.0      -1.9     0.02      0.02
      32      -1.9      -1.8     0.02      0.02
      33      -1.8      -1.7     0.00      0.00
      34      -1.7      -1.6     0.00      0.00
      35      -1.6      -1.5     0.00      0.00
      36      -1.5      -1.4     0.00      0.00
      37      -1.4      -1.3     0.00      0.00
      38      -1.3      -1.2     0.00      0.00
      39      -1.2      -1.1     0.00      0.00
      40      -1.1      -1.0     0.00      0.00
      41      -1.0      -0.9     0.00      0.00
      42      -0.9      -0.8     0.00      0.00
      43      -0.8      -0.7     0.00      0.00
      44      -0.7      -0.6     0.00      0.00
      45      -0.6      -0.5     0.00      0.00
      46      -0.5      -0.4     0.00      0.00
      47      -0.4      -0.3     0.00      0.00
      48      -0.3      -0.2     0.00      0.00
      49      -0.2      -0.1     0.00      0.00
      50      -0.1       0.0     0.00      0.00
      51       0.0       0.1     0.00      0.00
      52       0.1       0.2     0.00      0.00
      53       0.2       0.3     0.00      0.00
      54       0.3       0.4     0.00      0.00
      55       0.4       0.5     0.00      0.00
      56       0.5       0.6     0.00      0.00
      57       0.6       0.7     0.00      0.00
      58       0.7       0.8     0.00      0.00
      59       0.8       0.9     0.00      0.00
      60       0.9       1.0     0.00      0.00
      61       1.0       1.1     0.00      0.00
      62       1.1       1.2     0.00      0.00
      63       1.2       1.3     0.00      0.00
      64       1.3       1.4     0.00      0.00
      65       1.4       1.5     0.00      0.00
      66       1.5       1.6     0.00      0.00
      67       1.6       1.7     0.00      0.00
      68       1.7       1.8     0.00      0.00
      69       1.8       1.9     0.00      0.00
      70       1.9       2.0     0.00      0.00
      71       2.0       2.1     0.05      0.03
      72       2.1       2.2     0.14      0.06
      73       2.2       2.3     0.05      0.03
      74       2.3       2.4     0.20      0.07
      75       2.4       2.5     0.07      0.04
      76       2.5       2.6     0.34      0.10
      77       2.6       2.7     0.36      0.10
      78       2.7       2.8     0.45      0.11
      79       2.8       2.9     0.34      0.10
      80       2.9       3.0     0.45      0.11
      81       3.0       3.1     0.18      0.07
      82       3.1       3.2     0.02      0.02
      83       3.2       3.3     0.02      0.02
      84       3.3       3.4     0.00      0.00
      85       3.4       3.5     0.02      0.02
      86       3.5       3.6     0.00      0.00
      87       3.6       3.7     0.00      0.00
      88       3.7       3.8     0.00      0.00
      89       3.8       3.9     0.00      0.00
      90       3.9       4.0     0.00      0.00
      91       4.0       4.1     0.00      0.00
      92       4.1       4.2     0.00      0.00
      93       4.2       4.3     0.00      0.00
      94       4.3       4.4     0.00      0.00
      95       4.4       4.5     0.00      0.00
      96       4.5       4.6     0.00      0.00
      97       4.6       4.7     0.00      0.00
      98       4.7       4.8     0.00      0.00
      99       4.8       4.9     0.00      0.00
     100       4.9       5.0     0.00      0.00
