#    ptBin     ptMin     ptMax   Value     Error
       1       0.0       2.5     0.02      0.01
       2       2.5       5.0     0.09      0.03
       3       5.0       7.5     0.13      0.03
       4       7.5      10.0     0.22      0.04
       5      10.0      12.5     0.30      0.05
       6      12.5      15.0     0.32      0.06
       7      15.0      17.5     0.28      0.05
       8      17.5      20.0     0.46      0.07
       9      20.0      30.0     1.88      0.23
      10      30.0      40.0     2.08      0.25
      11      40.0      50.0     2.04      0.25
      12      50.0      70.0     3.84      0.45
      13      70.0      90.0     2.79      0.33
      14      90.0     110.0     1.70      0.21
      15     110.0     150.0     1.08      0.14
      16     150.0     190.0     0.23      0.04
      17     190.0     250.0     0.07      0.02
      18     250.0     600.0     0.01      0.01
