#    ptBin     ptMin     ptMax   Value     Error
       1       0.0       2.5    0.034     0.005
       2       2.5       5.0    0.083     0.010
       3       5.0       7.5    0.135     0.015
       4       7.5      10.0    0.185     0.020
       5      10.0      12.5    0.236     0.026
       6      12.5      15.0    0.284     0.031
       7      15.0      17.5    0.311     0.034
       8      17.5      20.0    0.331     0.036
       9      20.0      30.0    1.465     0.156
      10      30.0      40.0    1.481     0.159
      11      40.0      50.0    1.329     0.143
      12      50.0      70.0    1.906     0.207
      13      70.0      90.0    1.075     0.122
      14      90.0     110.0    0.562     0.067
      15     110.0     150.0    0.548     0.068
      16     150.0     190.0    0.212     0.027
      17     190.0     250.0    0.116     0.015
      18     250.0     600.0    0.072     0.010
