#    ptBin     ptMin     ptMax   Value     Error
       1      -5.0      -4.9    0.000     0.000
       2      -4.9      -4.8    0.000     0.000
       3      -4.8      -4.7    0.000     0.000
       4      -4.7      -4.6    0.000     0.000
       5      -4.6      -4.5    0.000     0.000
       6      -4.5      -4.4    0.000     0.000
       7      -4.4      -4.3    0.000     0.000
       8      -4.3      -4.2    0.000     0.000
       9      -4.2      -4.1    0.000     0.000
      10      -4.1      -4.0    0.000     0.000
      11      -4.0      -3.9    0.000     0.000
      12      -3.9      -3.8    0.000     0.000
      13      -3.8      -3.7    0.000     0.000
      14      -3.7      -3.6    0.000     0.000
      15      -3.6      -3.5    0.001     0.000
      16      -3.5      -3.4    0.001     0.000
      17      -3.4      -3.3    0.002     0.001
      18      -3.3      -3.2    0.005     0.001
      19      -3.2      -3.1    0.009     0.001
      20      -3.1      -3.0    0.016     0.002
      21      -3.0      -2.9    0.026     0.003
      22      -2.9      -2.8    0.042     0.004
      23      -2.8      -2.7    0.049     0.005
      24      -2.7      -2.6    0.058     0.005
      25      -2.6      -2.5    0.052     0.005
      26      -2.5      -2.4    0.051     0.005
      27      -2.4      -2.3    0.045     0.005
      28      -2.3      -2.2    0.039     0.004
      29      -2.2      -2.1    0.031     0.004
      30      -2.1      -2.0    0.030     0.004
      31      -2.0      -1.9    0.020     0.003
      32      -1.9      -1.8    0.010     0.002
      33      -1.8      -1.7    0.008     0.002
      34      -1.7      -1.6    0.003     0.001
      35      -1.6      -1.5    0.003     0.001
      36      -1.5      -1.4    0.001     0.001
      37      -1.4      -1.3    0.000     0.000
      38      -1.3      -1.2    0.000     0.000
      39      -1.2      -1.1    0.000     0.000
      40      -1.1      -1.0    0.000     0.000
      41      -1.0      -0.9    0.000     0.000
      42      -0.9      -0.8    0.000     0.000
      43      -0.8      -0.7    0.000     0.000
      44      -0.7      -0.6    0.000     0.000
      45      -0.6      -0.5    0.000     0.000
      46      -0.5      -0.4    0.000     0.000
      47      -0.4      -0.3    0.000     0.000
      48      -0.3      -0.2    0.000     0.000
      49      -0.2      -0.1    0.000     0.000
      50      -0.1       0.0    0.000     0.000
      51       0.0       0.1    0.000     0.000
      52       0.1       0.2    0.000     0.000
      53       0.2       0.3    0.000     0.000
      54       0.3       0.4    0.000     0.000
      55       0.4       0.5    0.000     0.000
      56       0.5       0.6    0.000     0.000
      57       0.6       0.7    0.000     0.000
      58       0.7       0.8    0.000     0.000
      59       0.8       0.9    0.000     0.000
      60       0.9       1.0    0.000     0.000
      61       1.0       1.1    0.000     0.000
      62       1.1       1.2    0.000     0.000
      63       1.2       1.3    0.000     0.000
      64       1.3       1.4    0.000     0.000
      65       1.4       1.5    0.001     0.001
      66       1.5       1.6    0.006     0.002
      67       1.6       1.7    0.003     0.001
      68       1.7       1.8    0.010     0.002
      69       1.8       1.9    0.013     0.002
      70       1.9       2.0    0.017     0.003
      71       2.0       2.1    0.027     0.003
      72       2.1       2.2    0.031     0.004
      73       2.2       2.3    0.033     0.004
      74       2.3       2.4    0.036     0.004
      75       2.4       2.5    0.046     0.005
      76       2.5       2.6    0.045     0.005
      77       2.6       2.7    0.053     0.005
      78       2.7       2.8    0.055     0.005
      79       2.8       2.9    0.039     0.004
      80       2.9       3.0    0.024     0.003
      81       3.0       3.1    0.018     0.002
      82       3.1       3.2    0.012     0.002
      83       3.2       3.3    0.006     0.001
      84       3.3       3.4    0.002     0.001
      85       3.4       3.5    0.001     0.000
      86       3.5       3.6    0.000     0.000
      87       3.6       3.7    0.000     0.000
      88       3.7       3.8    0.000     0.000
      89       3.8       3.9    0.000     0.000
      90       3.9       4.0    0.000     0.000
      91       4.0       4.1    0.000     0.000
      92       4.1       4.2    0.000     0.000
      93       4.2       4.3    0.000     0.000
      94       4.3       4.4    0.000     0.000
      95       4.4       4.5    0.000     0.000
      96       4.5       4.6    0.000     0.000
      97       4.6       4.7    0.000     0.000
      98       4.7       4.8    0.000     0.000
      99       4.8       4.9    0.000     0.000
     100       4.9       5.0    0.000     0.000
