#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1      0.00      2.50    3.230747e-02    1.117646e-03
         2      2.50      5.00    5.925501e-02    1.598926e-03
         3      5.00      7.50    5.504236e-02    1.553840e-03
         4      7.50     10.00    3.979456e-02    1.313949e-03
         5     10.00     12.50    3.536041e-02    1.186628e-03
         6     12.50     15.00    2.714240e-02    1.145924e-03
         7     15.00     17.50    2.153571e-02    9.854718e-04
         8     17.50     20.00    1.641873e-02    8.649722e-04
         9     20.00     30.00    1.161226e-02    3.477985e-04
        10     30.00     40.00    5.914853e-03    2.311835e-04
        11     40.00     50.00    3.364199e-03    1.647186e-04
        12     50.00     70.00    1.814780e-03    8.194206e-05
        13     70.00     90.00    7.799140e-04    5.046025e-05
        14     90.00    110.00    4.744556e-04    3.967389e-05
        15    110.00    150.00    1.946230e-04    1.652978e-05
        16    150.00    190.00    5.898621e-05    9.272596e-06
        17    190.00    250.00    1.563121e-05    4.029705e-06
        18    250.00    600.00    1.408199e-06    4.287898e-07
