#    PtBin     PtMin     PtMax      Value     Error
        1       0.0       2.5     0.0345      0.0016 
        2       2.5       5.0     0.0612      0.0024
        3       5.0       7.5     0.0554      0.0025
        4       7.5      10.0     0.0381      0.0025
        5      10.0      12.5     0.0336      0.0018
        6      12.5      15.0     0.0262      0.0015
        7      15.0      17.5     0.0217      0.0014
        8      17.5      20.0     0.0159      0.0013
        9      20.0      30.0     0.01105     0.00039
       10      30.0      40.0     0.00633     0.00029
       11      40.0      50.0     0.00359     0.00022
       12      50.0      70.0     0.00176     0.00011
       13      70.0      90.0     0.000789    0.000072
       14      90.0     110.0     0.000490    0.000059
       15     110.0     150.0     0.000186    0.000023
       16     150.0     190.0     0.000078    0.000016
       17     190.0     250.0     0.0000125   0.0000060
       18     250.0     600.0     0.00000223  0.00000091
