#      bin     lower     upper      data   stat error   syst error
        1       0.0       2.5  0.033087 0.0027321520 0.0017915625
        2       2.5       5.0  0.060871 0.0034494679 0.0015075142
        3       5.0       7.5  0.053324 0.0034175994 0.0007408945
        4       7.5      10.0  0.041653 0.0031873052 0.0008254451
        5      10.0      12.5  0.035791 0.0029605052 0.0005845679
        6      12.5      15.0  0.026788 0.0026684210 0.0005362615
        7      15.0      17.5  0.019634 0.0024151840 0.0005542535
        8      17.5      20.0  0.015625 0.0021267802 0.0004561057
        9      20.0      30.0  0.011953 0.0004606441 0.0002160738
       10      30.0      40.0  0.005611 0.0003202166 0.0001759405
       11      40.0      50.0  0.003185 0.0002481313 0.0001000119
       12      50.0      70.0  0.001917 0.0001191045 0.0000621190
       13      70.0      90.0  0.000791 0.0000797149 0.0000442936
       14      90.0     110.0  0.000457 0.0000605669 0.0000202909
       15     110.0     150.0  0.000220 0.0000265460 0.0000110985
       16     150.0     190.0  0.000049 0.0000136071 0.0000080393
       17     190.0     250.0  0.000021 0.0000065764 0.0000049109
       18     250.0     600.0  0.000001 0.0000005345 0.0000006836
