#      bin     lower     upper      data   stat error   syst error
        1       0.0       2.5  0.025272 0.0010022308 0.0005965449
        2       2.5       5.0  0.052945 0.0014510108 0.0008981712
        3       5.0       7.5  0.051944 0.0014385623 0.0006380388
        4       7.5      10.0  0.043313 0.0013268172 0.0003804111
        5      10.0      12.5  0.036186 0.0012181515 0.0003042642
        6      12.5      15.0  0.028195 0.0010723340 0.0002575489
        7      15.0      17.5  0.021805 0.0009602136 0.0003384254
        8      17.5      20.0  0.017768 0.0008656517 0.0003225708
        9      20.0      30.0  0.012533 0.0003659538 0.0002185229
       10      30.0      40.0  0.006036 0.0002586683 0.0001412189
       11      40.0      50.0  0.003500 0.0002017923 0.0001002573
       12      50.0      70.0  0.002079 0.0001118329 0.0000710307
       13      70.0      90.0  0.000942 0.0000767757 0.0000397246
       14      90.0     110.0  0.000556 0.0000602403 0.0000268835
       15     110.0     150.0  0.000257 0.0000284026 0.0000129133
       16     150.0     190.0  0.000058 0.0000130849 0.0000177466
       17     190.0     250.0  0.000022 0.0000063599 0.0000109360
       18     250.0     600.0  0.000001 0.0000005148 0.0000019328
       19     600.0    3500.0  0.000000 0.0000000000 0.0000000000
