# Measurement in muon channel
#Bin      YMin      YMax     Value   Error   Error
51           0       0.1   0.32400  0.01213  0.00102
52         0.1       0.2   0.33827  0.01287  0.00086
53         0.2       0.3   0.33818  0.01291  0.00088
54         0.3       0.4   0.34121  0.01298  0.00079
55         0.4       0.5   0.36253  0.01332  0.00075
56         0.5       0.6   0.34204  0.01300  0.00066
57         0.6       0.7   0.31184  0.01249  0.00046
58         0.7       0.8   0.35370  0.01333  0.00041
59         0.8       0.9   0.34353  0.01345  0.00051
60         0.9         1   0.33161  0.01345  0.00032
61           1       1.1   0.33583  0.01385  0.00053
62         1.1       1.2   0.32367  0.01404  0.00048
63         1.2       1.3   0.32078  0.01445  0.00062
64         1.3       1.4   0.35464  0.01583  0.00096
65         1.4       1.5   0.32607  0.01632  0.00101
66         1.5       1.6   0.33113  0.01753  0.00135
67         1.6       1.7   0.29379  0.01796  0.00141
68         1.7       1.8   0.33058  0.02136  0.00196
69         1.8       1.9   0.32374  0.02471  0.00250
70         1.9         2   0.32765  0.03174  0.00319












