# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8  0.0039672          0
        13       -3.8       -3.7  0.0509473          0
        14       -3.7       -3.6  0.0411677          0
        15       -3.6       -3.5  0.0476682          0
        16       -3.5       -3.4  0.0426483          0
        17       -3.4       -3.3  0.0380173          0
        18       -3.3       -3.2  0.0350935          0
        19       -3.2       -3.1  0.0322919          0
        20       -3.1         -3  0.0307445          0
        21         -3       -2.9  0.0295156          0
        22       -2.9       -2.8  0.0281277          0
        23       -2.8       -2.7  0.0269886          0
        24       -2.7       -2.6  0.0239434          0
        25       -2.6       -2.5  0.0183453          0
        26       -2.5       -2.4  0.0152723          0
        27       -2.4       -2.3  0.0140619          0
        28       -2.3       -2.2  0.0131104          0
        29       -2.2       -2.1  0.0129803          0
        30       -2.1         -2  0.0118423          0
        31         -2       -1.9  0.0104398          0
        32       -1.9       -1.8 0.00890336          0
        33       -1.8       -1.7  0.0076267          0
        34       -1.7       -1.6 0.00680811          0
        35       -1.6       -1.5 0.00659883          0
        36       -1.5       -1.4 0.00657421          0
        37       -1.4       -1.3 0.00643306          0
        38       -1.3       -1.2 0.00610384          0
        39       -1.2       -1.1 0.00579858          0
        40       -1.1         -1 0.00575901          0
        41         -1       -0.9 0.00585859          0
        42       -0.9       -0.8 0.00603083          0
        43       -0.8       -0.7 0.00598768          0
        44       -0.7       -0.6 0.00538597          0
        45       -0.6       -0.5 0.00487922          0
        46       -0.5       -0.4 0.00411417          0
        47       -0.4       -0.3 0.00356325          0
        48       -0.3       -0.2 0.00329303          0
        49       -0.2       -0.1 0.00332378          0
        50       -0.1          0 0.00346623          0
        51          0        0.1 0.00354019          0
        52        0.1        0.2 0.00333528          0
        53        0.2        0.3 0.00376165          0
        54        0.3        0.4 0.00368762          0
        55        0.4        0.5 0.00413881          0
        56        0.5        0.6 0.00448745          0
        57        0.6        0.7 0.00482629          0
        58        0.7        0.8 0.00489485          0
        59        0.8        0.9 0.00512456          0
        60        0.9          1 0.00499033          0
        61          1        1.1 0.00460542          0
        62        1.1        1.2 0.00543145          0
        63        1.2        1.3 0.00581886          0
        64        1.3        1.4 0.00624242          0
        65        1.4        1.5 0.00647857          0
        66        1.5        1.6 0.00615647          0
        67        1.6        1.7  0.0066524          0
        68        1.7        1.8 0.00725853          0
        69        1.8        1.9 0.00756101          0
        70        1.9          2 0.00889721          0
        71          2        2.1 0.00964008          0
        72        2.1        2.2  0.0101634          0
        73        2.2        2.3  0.0100376          0
        74        2.3        2.4  0.0103362          0
        75        2.4        2.5  0.0112299          0
        76        2.5        2.6  0.0135455          0
        77        2.6        2.7  0.0182204          0
        78        2.7        2.8  0.0209022          0
        79        2.8        2.9  0.0217354          0
        80        2.9          3  0.0230297          0
        81          3        3.1  0.0245317          0
        82        3.1        3.2  0.0263956          0
        83        3.2        3.3  0.0264901          0
        84        3.3        3.4  0.0328103          0
        85        3.4        3.5  0.0425063          0
        86        3.5        3.6  0.0437356          0
        87        3.6        3.7  0.0673733          0
        88        3.7        3.8   0.102552          0
        89        3.8        3.9    2.06476          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
