# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1          0        2.5 0.00276322  0.0525664
         2        2.5          5 0.00233545  0.0483265
         3          5        7.5 0.00216306  0.0465087
         4        7.5         10 0.00218115  0.0467028
         5         10       12.5 0.00172677  0.0415544
         6       12.5         15   0.001099  0.0331512
         7         15       17.5 0.00164866  0.0406037
         8       17.5         20 0.00179395  0.0423551
         9         20         30 0.00252526   0.050252
        10         30         40 0.00438414  0.0662128
        11         40         50 0.00516365  0.0718585
        12         50         70 0.00554056   0.074435
        13         70         90 0.00674647  0.0821369
        14         90        110 0.00802113  0.0895608
        15        110        150   0.007723  0.0878806
        16        150        190 0.00860381  0.0927567
        17        190        250  0.0118692   0.108946
        18        250        600  0.0119155   0.109158
        19        600       3500          0          0
