# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8          0          0
        13       -3.8       -3.7 0.000285782  0.0169051
        14       -3.7       -3.6 6.62468e-05 0.00813921
        15       -3.6       -3.5 0.00151922  0.0389772
        16       -3.5       -3.4 0.000745881  0.0273108
        17       -3.4       -3.3 0.000423212  0.0205721
        18       -3.3       -3.2 0.00033904   0.018413
        19       -3.2       -3.1 0.00109123  0.0330338
        20       -3.1         -3 0.000931373  0.0305184
        21         -3       -2.9 0.000454417  0.0213171
        22       -2.9       -2.8 0.000529053  0.0230012
        23       -2.8       -2.7 0.00195894  0.0442599
        24       -2.7       -2.6 0.00215961  0.0464716
        25       -2.6       -2.5 0.000975851  0.0312386
        26       -2.5       -2.4 0.00307596  0.0554614
        27       -2.4       -2.3 0.000357339  0.0189034
        28       -2.3       -2.2 0.000758772  0.0275458
        29       -2.2       -2.1 0.000256259  0.0160081
        30       -2.1         -2 0.00120585  0.0347253
        31         -2       -1.9 0.000181669  0.0134785
        32       -1.9       -1.8 0.000766506  0.0276858
        33       -1.8       -1.7 0.00114204  0.0337941
        34       -1.7       -1.6 0.000697807   0.026416
        35       -1.6       -1.5 0.000888214  0.0298029
        36       -1.5       -1.4 0.00066143  0.0257183
        37       -1.4       -1.3 0.000465096  0.0215661
        38       -1.3       -1.2 0.000712112  0.0266854
        39       -1.2       -1.1 0.00119637  0.0345886
        40       -1.1         -1 0.000432409  0.0207945
        41         -1       -0.9 0.000223595  0.0149531
        42       -0.9       -0.8 0.000431548  0.0207737
        43       -0.8       -0.7 0.00113289  0.0336584
        44       -0.7       -0.6 0.000346952  0.0186267
        45       -0.6       -0.5 0.000784183  0.0280033
        46       -0.5       -0.4 0.000426926  0.0206622
        47       -0.4       -0.3 7.75877e-05 0.00880839
        48       -0.3       -0.2 0.00101717  0.0318931
        49       -0.2       -0.1 0.000113975  0.0106759
        50       -0.1          0 0.00183619  0.0428507
        51          0        0.1 0.000790418  0.0281144
        52        0.1        0.2 0.00107793  0.0328319
        53        0.2        0.3 0.000953557  0.0308797
        54        0.3        0.4 0.000447005  0.0211425
        55        0.4        0.5 0.000413748  0.0203408
        56        0.5        0.6 0.000623967  0.0249793
        57        0.6        0.7 0.000128611  0.0113407
        58        0.7        0.8 0.00090585  0.0300973
        59        0.8        0.9 0.00104222  0.0322834
        60        0.9          1 0.00103463  0.0321656
        61          1        1.1 0.000628026  0.0250604
        62        1.1        1.2 0.000575602  0.0239917
        63        1.2        1.3 0.000248454  0.0157624
        64        1.3        1.4 0.000336613   0.018347
        65        1.4        1.5 0.000879846  0.0296622
        66        1.5        1.6 0.00013521   0.011628
        67        1.6        1.7 0.000525424  0.0229221
        68        1.7        1.8 0.00116887  0.0341887
        69        1.8        1.9 0.00160359  0.0400448
        70        1.9          2 0.000956298  0.0309241
        71          2        2.1 0.000245481  0.0156678
        72        2.1        2.2 0.00227353  0.0476816
        73        2.2        2.3 0.00190642  0.0436625
        74        2.3        2.4 0.000364696   0.019097
        75        2.4        2.5 0.000992291  0.0315007
        76        2.5        2.6 0.00184854  0.0429947
        77        2.6        2.7 0.00325025   0.057011
        78        2.7        2.8 0.00139051  0.0372895
        79        2.8        2.9 0.000468855  0.0216531
        80        2.9          3 0.000665402  0.0257954
        81          3        3.1 0.000748447  0.0273578
        82        3.1        3.2 0.000921017  0.0303483
        83        3.2        3.3 0.00475736  0.0689736
        84        3.3        3.4 0.00155936  0.0394888
        85        3.4        3.5 0.00147541   0.038411
        86        3.5        3.6 0.00100149  0.0316463
        87        3.6        3.7 0.000319555  0.0178761
        88        3.7        3.8 0.000459972  0.0214469
        89        3.8        3.9 7.19421e-07 0.000848187
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
