# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 0.00863567  0.0929283
         2        2.5          5 0.00692882  0.0832395
         3          5        7.5  0.0046725  0.0683557
         4        7.5         10 0.00108046  0.0328703
         5         10       12.5 0.00112569  0.0335513
         6       12.5         15 0.00118344  0.0344012
         7         15       17.5 0.00111283  0.0333591
         8       17.5         20 0.00287429  0.0536124
         9         20         30 0.00494627  0.0703297
        10         30         40 0.00759329  0.0871395
        11         40         50 0.00788387  0.0887912
        12         50         70 0.00982749  0.0991337
        13         70         90  0.0109331   0.104561
        14         90        110  0.0161131   0.126937
        15        110        150  0.0242845   0.155835
        16        150        190  0.0282733   0.168147
        17        190        250  0.0617672    0.24853
        18        250        600   0.102126   0.319571
        19        600       3500  0.0933947   0.305605
