# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8 0.00435046   0.065958
        13       -3.8       -3.7   0.138217   0.371776
        14       -3.7       -3.6 0.00750122  0.0866096
        15       -3.6       -3.5  0.0474676   0.217871
        16       -3.5       -3.4 0.00885095  0.0940795
        17       -3.4       -3.3 0.00188107  0.0433713
        18       -3.3       -3.2  0.0151236   0.122978
        19       -3.2       -3.1  0.0113186   0.106389
        20       -3.1         -3  0.0199345    0.14119
        21         -3       -2.9 0.00717724  0.0847186
        22       -2.9       -2.8  0.0076786  0.0876276
        23       -2.8       -2.7 0.00693787  0.0832939
        24       -2.7       -2.6 0.00125343  0.0354038
        25       -2.6       -2.5 0.00583822  0.0764083
        26       -2.5       -2.4 0.00190206  0.0436126
        27       -2.4       -2.3 0.00421726  0.0649405
        28       -2.3       -2.2 0.00254103  0.0504087
        29       -2.2       -2.1 0.00385418  0.0620821
        30       -2.1         -2 0.00122822  0.0350459
        31         -2       -1.9 0.000974084  0.0312103
        32       -1.9       -1.8 0.00183883  0.0428815
        33       -1.8       -1.7 0.000405928  0.0201477
        34       -1.7       -1.6 0.000652101  0.0255363
        35       -1.6       -1.5 0.000586687  0.0242216
        36       -1.5       -1.4 0.00154919  0.0393598
        37       -1.4       -1.3 0.000633636  0.0251721
        38       -1.3       -1.2 0.000827643  0.0287688
        39       -1.2       -1.1 0.000863506  0.0293855
        40       -1.1         -1 0.000644938  0.0253956
        41         -1       -0.9 0.000374973  0.0193642
        42       -0.9       -0.8 9.48649e-05 0.00973986
        43       -0.8       -0.7 0.00148265  0.0385052
        44       -0.7       -0.6 0.000763455  0.0276307
        45       -0.6       -0.5 0.000216935  0.0147287
        46       -0.5       -0.4 0.000810853  0.0284755
        47       -0.4       -0.3 0.00051987  0.0228007
        48       -0.3       -0.2 0.000762909  0.0276208
        49       -0.2       -0.1 0.000286201  0.0169175
        50       -0.1          0 0.000486297  0.0220521
        51          0        0.1 0.000537505  0.0231842
        52        0.1        0.2 0.00127143  0.0356571
        53        0.2        0.3 0.000827791  0.0287714
        54        0.3        0.4 0.000144481    0.01202
        55        0.4        0.5 0.000178403  0.0133568
        56        0.5        0.6 0.000555694  0.0235732
        57        0.6        0.7 0.000304723  0.0174563
        58        0.7        0.8 0.00154197   0.039268
        59        0.8        0.9 0.000116472  0.0107922
        60        0.9          1 0.000640927  0.0253165
        61          1        1.1 0.000985364  0.0313905
        62        1.1        1.2 0.000327633  0.0181006
        63        1.2        1.3   0.001034  0.0321559
        64        1.3        1.4 0.000392823  0.0198198
        65        1.4        1.5 0.000417866  0.0204418
        66        1.5        1.6 0.000461298  0.0214778
        67        1.6        1.7 0.00068003  0.0260774
        68        1.7        1.8 0.00106894  0.0326947
        69        1.8        1.9 0.00186521   0.043188
        70        1.9          2 0.00177212  0.0420965
        71          2        2.1 0.00219104  0.0468085
        72        2.1        2.2 0.000716582  0.0267691
        73        2.2        2.3 0.00210344  0.0458633
        74        2.3        2.4 0.000604605  0.0245887
        75        2.4        2.5  0.0028716  0.0535873
        76        2.5        2.6 0.00339181  0.0582393
        77        2.6        2.7 0.00246238  0.0496224
        78        2.7        2.8 0.00279725  0.0528891
        79        2.8        2.9 0.00453567  0.0673474
        80        2.9          3 0.00154601  0.0393193
        81          3        3.1 0.00201091  0.0448431
        82        3.1        3.2 0.00799882  0.0894361
        83        3.2        3.3  0.0031849  0.0564349
        84        3.3        3.4   0.014491   0.120379
        85        3.4        3.5  0.0167666   0.129486
        86        3.5        3.6  0.0631805   0.251357
        87        3.6        3.7  0.0083249  0.0912409
        88        3.7        3.8   0.108168   0.328889
        89        3.8        3.9          0          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
