# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8          0          0
        13       -3.8       -3.7 4.76468e-05 0.00690267
        14       -3.7       -3.6 0.000286548  0.0169277
        15       -3.6       -3.5 0.000691366  0.0262938
        16       -3.5       -3.4  0.0013137   0.036245
        17       -3.4       -3.3 0.00152214  0.0390146
        18       -3.3       -3.2 0.00108837  0.0329905
        19       -3.2       -3.1 0.00265917  0.0515672
        20       -3.1         -3 0.00261379  0.0511252
        21         -3       -2.9 0.00214309  0.0462935
        22       -2.9       -2.8 0.00273474  0.0522947
        23       -2.8       -2.7 0.00265191  0.0514967
        24       -2.7       -2.6 0.00376624  0.0613697
        25       -2.6       -2.5 0.00326431  0.0571341
        26       -2.5       -2.4 0.00246887  0.0496877
        27       -2.4       -2.3 0.00119056  0.0345045
        28       -2.3       -2.2 0.00112825  0.0335894
        29       -2.2       -2.1 0.00106869  0.0326908
        30       -2.1         -2 0.00105376  0.0324617
        31         -2       -1.9 0.000395513  0.0198875
        32       -1.9       -1.8 0.000416099  0.0203985
        33       -1.8       -1.7 0.000666566  0.0258179
        34       -1.7       -1.6 0.000836526  0.0289228
        35       -1.6       -1.5  0.0010424  0.0322863
        36       -1.5       -1.4 0.00121899   0.034914
        37       -1.4       -1.3 0.00123259  0.0351083
        38       -1.3       -1.2  0.0013045  0.0361178
        39       -1.2       -1.1 0.00132499  0.0364004
        40       -1.1         -1 0.00134722  0.0367045
        41         -1       -0.9 0.00137464  0.0370761
        42       -0.9       -0.8 0.00140506  0.0374842
        43       -0.8       -0.7 0.00143646  0.0379007
        44       -0.7       -0.6 0.00145846  0.0381898
        45       -0.6       -0.5 0.00147492  0.0384047
        46       -0.5       -0.4 0.00149492  0.0386641
        47       -0.4       -0.3 0.00152787   0.039088
        48       -0.3       -0.2 0.00154951  0.0393638
        49       -0.2       -0.1 0.00156616  0.0395747
        50       -0.1          0 0.00158838  0.0398545
        51          0        0.1 0.00158867  0.0398581
        52        0.1        0.2 0.00157134  0.0396401
        53        0.2        0.3 0.00156459  0.0395549
        54        0.3        0.4 0.00154191  0.0392671
        55        0.4        0.5 0.00152284  0.0390236
        56        0.5        0.6 0.00150086   0.038741
        57        0.6        0.7 0.00148101  0.0384839
        58        0.7        0.8  0.0014519  0.0381038
        59        0.8        0.9 0.00142596  0.0377618
        60        0.9          1 0.00141029  0.0375539
        61          1        1.1 0.00138768  0.0372516
        62        1.1        1.2 0.00135865  0.0368599
        63        1.2        1.3 0.00131229  0.0362255
        64        1.3        1.4  0.0012847  0.0358427
        65        1.4        1.5 0.00123774  0.0351815
        66        1.5        1.6 0.00105376  0.0324617
        67        1.6        1.7 0.000696959     0.0264
        68        1.7        1.8 0.000466736  0.0216041
        69        1.8        1.9 0.000159638  0.0126348
        70        1.9          2 0.000364576  0.0190939
        71          2        2.1 0.00103474  0.0321674
        72        2.1        2.2 0.00172809  0.0415703
        73        2.2        2.3 0.00272853  0.0522354
        74        2.3        2.4 0.00244135  0.0494101
        75        2.4        2.5  0.0037646  0.0613563
        76        2.5        2.6 0.00316767  0.0562821
        77        2.6        2.7  0.0050984  0.0714031
        78        2.7        2.8  0.0045812  0.0676846
        79        2.8        2.9 0.00397095  0.0630155
        80        2.9          3 0.00363438  0.0602858
        81          3        3.1 0.00219304  0.0468299
        82        3.1        3.2 0.00257195  0.0507144
        83        3.2        3.3 0.00283776  0.0532706
        84        3.3        3.4 0.00147867  0.0384535
        85        3.4        3.5 0.000817733   0.028596
        86        3.5        3.6 0.000325583  0.0180439
        87        3.6        3.7 0.000675003  0.0259808
        88        3.7        3.8 0.00027616  0.0166181
        89        3.8        3.9 3.68942e-07 0.000607406
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
