# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8 2.78626e-05 0.00527851
        13       -3.8       -3.7 3.54996e-05 0.00595815
        14       -3.7       -3.6 0.000338065  0.0183865
        15       -3.6       -3.5 0.000320367  0.0178988
        16       -3.5       -3.4 0.00130389  0.0361094
        17       -3.4       -3.3 0.00151705  0.0389494
        18       -3.3       -3.2 0.00165362  0.0406647
        19       -3.2       -3.1 0.00239893  0.0489788
        20       -3.1         -3 0.00354698  0.0595566
        21         -3       -2.9 0.00367427  0.0606158
        22       -2.9       -2.8 0.00433761  0.0658606
        23       -2.8       -2.7 0.00420071  0.0648129
        24       -2.7       -2.6 0.00342187  0.0584967
        25       -2.6       -2.5 0.00273794  0.0523253
        26       -2.5       -2.4  0.0027241  0.0521929
        27       -2.4       -2.3 0.00221908  0.0471071
        28       -2.3       -2.2 0.00156139  0.0395145
        29       -2.2       -2.1 0.00129894  0.0360409
        30       -2.1         -2 0.000297578  0.0172504
        31         -2       -1.9 0.000414339  0.0203553
        32       -1.9       -1.8 0.000553139  0.0235189
        33       -1.8       -1.7 0.00100061  0.0316324
        34       -1.7       -1.6 0.00116269  0.0340982
        35       -1.6       -1.5 0.00138854  0.0372631
        36       -1.5       -1.4 0.00150397   0.038781
        37       -1.4       -1.3 0.00155439  0.0394257
        38       -1.3       -1.2 0.00160961  0.0401199
        39       -1.2       -1.1 0.00167337  0.0409069
        40       -1.1         -1 0.00170886  0.0413383
        41         -1       -0.9 0.00174675  0.0417942
        42       -0.9       -0.8 0.00177868  0.0421744
        43       -0.8       -0.7 0.00180809  0.0425216
        44       -0.7       -0.6 0.00183466  0.0428329
        45       -0.6       -0.5 0.00186759  0.0432156
        46       -0.5       -0.4 0.00189456  0.0435266
        47       -0.4       -0.3 0.00192223  0.0438432
        48       -0.3       -0.2 0.00195429  0.0442073
        49       -0.2       -0.1 0.00197341   0.044423
        50       -0.1          0 0.00200042  0.0447261
        51          0        0.1 0.00200335  0.0447588
        52        0.1        0.2 0.00198262  0.0445266
        53        0.2        0.3 0.00195865  0.0442566
        54        0.3        0.4 0.00194469  0.0440986
        55        0.4        0.5 0.00191878  0.0438039
        56        0.5        0.6 0.00189285  0.0435069
        57        0.6        0.7 0.00185858  0.0431112
        58        0.7        0.8 0.00183243  0.0428069
        59        0.8        0.9 0.00178835  0.0422889
        60        0.9          1 0.00177219  0.0420974
        61          1        1.1 0.00174622  0.0417878
        62        1.1        1.2 0.00170816  0.0413299
        63        1.2        1.3 0.00165886  0.0407291
        64        1.3        1.4 0.00159041  0.0398799
        65        1.4        1.5 0.00152694  0.0390761
        66        1.5        1.6 0.00141775  0.0376531
        67        1.6        1.7 0.00116818  0.0341786
        68        1.7        1.8 0.000782938   0.027981
        69        1.8        1.9 0.000193132  0.0138972
        70        1.9          2 0.000730141  0.0270211
        71          2        2.1 0.00152203  0.0390131
        72        2.1        2.2 0.00243073  0.0493024
        73        2.2        2.3 0.00307363  0.0554404
        74        2.3        2.4  0.0038361  0.0619363
        75        2.4        2.5 0.00475619  0.0689651
        76        2.5        2.6 0.00454041  0.0673825
        77        2.6        2.7 0.00605597  0.0778201
        78        2.7        2.8 0.00527372  0.0726204
        79        2.8        2.9 0.00534156   0.073086
        80        2.9          3 0.00391481  0.0625684
        81          3        3.1 0.00398616   0.063136
        82        3.1        3.2 0.00290521     0.0539
        83        3.2        3.3 0.00279477  0.0528656
        84        3.3        3.4 0.00221898  0.0471061
        85        3.4        3.5 0.00139751  0.0373832
        86        3.5        3.6 0.000908668  0.0301441
        87        3.6        3.7 0.000158876  0.0126046
        88        3.7        3.8 0.000108179  0.0104009
        89        3.8        3.9          0          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
