# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8          0          0
        13       -3.8       -3.7 0.000142795  0.0119497
        14       -3.7       -3.6 9.8486e-05 0.00992401
        15       -3.6       -3.5  0.0010655  0.0326419
        16       -3.5       -3.4 0.000908805  0.0301464
        17       -3.4       -3.3 0.00193523  0.0439912
        18       -3.3       -3.2  0.0012846  0.0358413
        19       -3.2       -3.1  0.0023013  0.0479719
        20       -3.1         -3 0.000232256  0.0152399
        21         -3       -2.9 0.000362833  0.0190482
        22       -2.9       -2.8 0.000439665  0.0209682
        23       -2.8       -2.7 0.00040628  0.0201564
        24       -2.7       -2.6  0.0010476  0.0323667
        25       -2.6       -2.5 0.000529369   0.023008
        26       -2.5       -2.4 0.00081461  0.0285414
        27       -2.4       -2.3 0.000138375  0.0117633
        28       -2.3       -2.2 0.000135963  0.0116603
        29       -2.2       -2.1 0.000686516  0.0262014
        30       -2.1         -2 0.000401425  0.0200356
        31         -2       -1.9 0.000501898  0.0224031
        32       -1.9       -1.8 0.000168066   0.012964
        33       -1.8       -1.7 0.000918028   0.030299
        34       -1.7       -1.6 0.000400459  0.0200115
        35       -1.6       -1.5 0.000354739  0.0188345
        36       -1.5       -1.4 8.14315e-05 0.00902394
        37       -1.4       -1.3 0.000332047  0.0182221
        38       -1.3       -1.2 0.000357039  0.0188955
        39       -1.2       -1.1 0.00030447  0.0174491
        40       -1.1         -1 0.000313521  0.0177065
        41         -1       -0.9 2.87215e-05 0.00535925
        42       -0.9       -0.8 0.000419159  0.0204734
        43       -0.8       -0.7 0.00026197  0.0161855
        44       -0.7       -0.6 0.000287762  0.0169635
        45       -0.6       -0.5 0.000128088  0.0113176
        46       -0.5       -0.4 0.000168471  0.0129796
        47       -0.4       -0.3 0.000325893  0.0180525
        48       -0.3       -0.2 0.000153777  0.0124007
        49       -0.2       -0.1 8.92667e-05 0.00944811
        50       -0.1          0 0.000136324  0.0116758
        51          0        0.1 0.000238287  0.0154366
        52        0.1        0.2 2.18049e-05 0.00466957
        53        0.2        0.3 0.000135843  0.0116552
        54        0.3        0.4 0.000400221  0.0200055
        55        0.4        0.5 0.000512561  0.0226398
        56        0.5        0.6 0.000120071  0.0109577
        57        0.6        0.7 0.00029161  0.0170766
        58        0.7        0.8 0.000339366  0.0184219
        59        0.8        0.9 0.00036408  0.0190809
        60        0.9          1 0.000192833  0.0138864
        61          1        1.1 0.000321149  0.0179206
        62        1.1        1.2 0.000377253   0.019423
        63        1.2        1.3 0.000173459  0.0131704
        64        1.3        1.4 0.000618453  0.0248687
        65        1.4        1.5 0.00025954  0.0161102
        66        1.5        1.6 0.000107274  0.0103573
        67        1.6        1.7 0.000134026   0.011577
        68        1.7        1.8 0.00103746  0.0322097
        69        1.8        1.9 0.000942946  0.0307074
        70        1.9          2  0.0012914  0.0359361
        71          2        2.1 0.000703882  0.0265308
        72        2.1        2.2 0.000844634  0.0290626
        73        2.2        2.3 0.00125664  0.0354491
        74        2.3        2.4 0.00017232  0.0131271
        75        2.4        2.5 0.00156382  0.0395452
        76        2.5        2.6 0.00132155  0.0363532
        77        2.6        2.7 0.000763107  0.0276244
        78        2.7        2.8 0.00212963  0.0461479
        79        2.8        2.9 0.00190692  0.0436683
        80        2.9          3 0.00103605  0.0321877
        81          3        3.1 0.000987039  0.0314172
        82        3.1        3.2 0.000410547   0.020262
        83        3.2        3.3 0.00164558  0.0405657
        84        3.3        3.4 0.00179371  0.0423522
        85        3.4        3.5 0.00235245  0.0485021
        86        3.5        3.6 0.000966476  0.0310882
        87        3.6        3.7 0.000417916   0.020443
        88        3.7        3.8 0.00018413  0.0135694
        89        3.8        3.9  0.0002918  0.0170822
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
