# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 2.54294e-05 0.00504276
         2        2.5          5 2.18922e-05 0.00467891
         3          5        7.5 1.68719e-05 0.00410755
         4        7.5         10 4.03804e-05 0.00635455
         5         10       12.5 8.77969e-06 0.00296305
         6       12.5         15 5.5994e-05 0.00748291
         7         15       17.5 6.41059e-06 0.00253191
         8       17.5         20 2.66256e-05    0.00516
         9         20         30 3.20702e-05 0.00566305
        10         30         40 8.00207e-05 0.00894543
        11         40         50 7.61014e-05 0.00872361
        12         50         70 6.90196e-05  0.0083078
        13         70         90 0.000139641   0.011817
        14         90        110 0.000107673  0.0103766
        15        110        150 0.000152336  0.0123425
        16        150        190 0.000233052   0.015266
        17        190        250 0.000219218   0.014806
        18        250        600 0.00163887  0.0404829
        19        600       3500 8.02833e-05 0.00896009
