# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8 5.59131e-05  0.0074775
        13       -3.8       -3.7 0.000178339  0.0133544
        14       -3.7       -3.6 0.000325879  0.0180521
        15       -3.6       -3.5 0.000313889  0.0177169
        16       -3.5       -3.4 0.000187892  0.0137074
        17       -3.4       -3.3 0.000666944  0.0258253
        18       -3.3       -3.2 0.00135403  0.0367972
        19       -3.2       -3.1 0.00115641  0.0340061
        20       -3.1         -3 0.000177293  0.0133151
        21         -3       -2.9 0.000488785  0.0221085
        22       -2.9       -2.8 0.000582447  0.0241339
        23       -2.8       -2.7 0.000647955   0.025455
        24       -2.7       -2.6 0.00150501  0.0387945
        25       -2.6       -2.5 0.00171089   0.041363
        26       -2.5       -2.4 0.000639591  0.0252901
        27       -2.4       -2.3  0.0004342  0.0208375
        28       -2.3       -2.2 0.000606448  0.0246262
        29       -2.2       -2.1 0.000515636  0.0227076
        30       -2.1         -2 0.000371323  0.0192697
        31         -2       -1.9 0.000817406  0.0285903
        32       -1.9       -1.8 0.000100163  0.0100081
        33       -1.8       -1.7 6.97108e-05  0.0083493
        34       -1.7       -1.6 7.59324e-05 0.00871392
        35       -1.6       -1.5 0.000144683  0.0120284
        36       -1.5       -1.4 9.12449e-05 0.00955222
        37       -1.4       -1.3 0.000213674  0.0146176
        38       -1.3       -1.2 0.000126286  0.0112377
        39       -1.2       -1.1 0.000163779  0.0127976
        40       -1.1         -1 9.85518e-05 0.00992732
        41         -1       -0.9 8.75455e-05 0.00935658
        42       -0.9       -0.8 0.00017023  0.0130472
        43       -0.8       -0.7 0.000125127   0.011186
        44       -0.7       -0.6 0.000114971  0.0107225
        45       -0.6       -0.5 0.000153355  0.0123837
        46       -0.5       -0.4 0.000194231  0.0139367
        47       -0.4       -0.3 0.000156126   0.012495
        48       -0.3       -0.2 0.00018756  0.0136953
        49       -0.2       -0.1 0.000189948  0.0137822
        50       -0.1          0 0.000133129  0.0115382
        51          0        0.1 0.000126873  0.0112638
        52        0.1        0.2 0.000143207  0.0119669
        53        0.2        0.3 9.21327e-05 0.00959858
        54        0.3        0.4 0.000125879  0.0112196
        55        0.4        0.5 0.000184784  0.0135935
        56        0.5        0.6 0.000148274  0.0121768
        57        0.6        0.7 6.48325e-05 0.00805186
        58        0.7        0.8 0.000109255  0.0104525
        59        0.8        0.9 9.61649e-05 0.00980637
        60        0.9          1  2.928e-05  0.0054111
        61          1        1.1 0.000382937  0.0195688
        62        1.1        1.2 0.000266354  0.0163204
        63        1.2        1.3 0.000165567  0.0128673
        64        1.3        1.4 8.27176e-05 0.00909492
        65        1.4        1.5 0.000150288  0.0122592
        66        1.5        1.6 0.000342818  0.0185154
        67        1.6        1.7 5.95054e-05 0.00771397
        68        1.7        1.8 0.000149306  0.0122191
        69        1.8        1.9 0.000203831   0.014277
        70        1.9          2 0.000353859  0.0188111
        71          2        2.1 0.000447001  0.0211424
        72        2.1        2.2 9.48756e-05 0.00974041
        73        2.2        2.3 0.000108503  0.0104165
        74        2.3        2.4 0.00065489  0.0255908
        75        2.4        2.5 0.000496805  0.0222891
        76        2.5        2.6 0.000446081  0.0211206
        77        2.6        2.7 0.000639144  0.0252813
        78        2.7        2.8 0.000297899  0.0172597
        79        2.8        2.9 0.000804613  0.0283657
        80        2.9          3 0.00194836  0.0441403
        81          3        3.1 0.00102398  0.0319997
        82        3.1        3.2 0.000563611  0.0237405
        83        3.2        3.3 0.00077567  0.0278508
        84        3.3        3.4 0.000972451  0.0311841
        85        3.4        3.5 0.000498476  0.0223266
        86        3.5        3.6 0.00014772   0.012154
        87        3.6        3.7 3.71257e-05 0.00609308
        88        3.7        3.8 0.000180157  0.0134223
        89        3.8        3.9          0          0
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
