# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8          0          0
        13       -3.8       -3.7 0.00042857  0.0207019
        14       -3.7       -3.6 3.37097e-05   0.005806
        15       -3.6       -3.5 0.00143146  0.0378346
        16       -3.5       -3.4 0.000549471  0.0234408
        17       -3.4       -3.3 0.000663521  0.0257589
        18       -3.3       -3.2 0.000220911  0.0148631
        19       -3.2       -3.1 0.00061819  0.0248634
        20       -3.1         -3 0.000525677  0.0229276
        21         -3       -2.9 0.00385833  0.0621155
        22       -2.9       -2.8 0.00281127  0.0530214
        23       -2.8       -2.7 0.00092537  0.0304199
        24       -2.7       -2.6 0.00238119  0.0487975
        25       -2.6       -2.5   0.000152  0.0123288
        26       -2.5       -2.4 0.00173916  0.0417033
        27       -2.4       -2.3 7.07369e-05 0.00841052
        28       -2.3       -2.2 0.00150262  0.0387637
        29       -2.2       -2.1 0.000605849   0.024614
        30       -2.1         -2 0.000209636  0.0144788
        31         -2       -1.9 0.00164898  0.0406077
        32       -1.9       -1.8 0.00030837  0.0175605
        33       -1.8       -1.7 0.00097996  0.0313043
        34       -1.7       -1.6 0.000117097  0.0108211
        35       -1.6       -1.5 0.00042188  0.0205397
        36       -1.5       -1.4 0.000343507  0.0185339
        37       -1.4       -1.3 0.000275147  0.0165875
        38       -1.3       -1.2 0.000105425  0.0102677
        39       -1.2       -1.1 0.000270864  0.0164579
        40       -1.1         -1 0.000279549  0.0167197
        41         -1       -0.9 0.000369324  0.0192178
        42       -0.9       -0.8 0.000466111  0.0215896
        43       -0.8       -0.7 0.000273918  0.0165505
        44       -0.7       -0.6 0.000898108  0.0299685
        45       -0.6       -0.5 0.000220375   0.014845
        46       -0.5       -0.4 0.000646629  0.0254289
        47       -0.4       -0.3 0.000205514  0.0143358
        48       -0.3       -0.2 4.48871e-05 0.00669978
        49       -0.2       -0.1 0.000277509  0.0166586
        50       -0.1          0 0.000116006  0.0107706
        51          0        0.1 0.000267439  0.0163536
        52        0.1        0.2 0.00106145  0.0325799
        53        0.2        0.3 0.000287212  0.0169473
        54        0.3        0.4 0.000628076  0.0250614
        55        0.4        0.5 0.000124169  0.0111431
        56        0.5        0.6 0.000201987  0.0142122
        57        0.6        0.7 0.000111991  0.0105826
        58        0.7        0.8 0.00059872  0.0244688
        59        0.8        0.9 0.00021078  0.0145183
        60        0.9          1 0.000144566  0.0120236
        61          1        1.1 0.000196053  0.0140019
        62        1.1        1.2 0.000415167  0.0203757
        63        1.2        1.3 0.000198118  0.0140755
        64        1.3        1.4 5.70549e-05 0.00755347
        65        1.4        1.5 0.000240776  0.0155169
        66        1.5        1.6 0.000415661  0.0203878
        67        1.6        1.7 0.000116796  0.0108072
        68        1.7        1.8 0.000248442  0.0157621
        69        1.8        1.9 0.000348061  0.0186564
        70        1.9          2 0.000543427  0.0233115
        71          2        2.1 7.99714e-05 0.00894267
        72        2.1        2.2 0.000482946   0.021976
        73        2.2        2.3 0.000299578  0.0173083
        74        2.3        2.4 0.00025396  0.0159361
        75        2.4        2.5 0.000741563  0.0272317
        76        2.5        2.6 0.00205104  0.0452884
        77        2.6        2.7 0.00054801  0.0234096
        78        2.7        2.8 0.000321462  0.0179294
        79        2.8        2.9 0.00480638  0.0693281
        80        2.9          3 0.00163032  0.0403772
        81          3        3.1 0.00174263  0.0417448
        82        3.1        3.2 0.000591837  0.0243277
        83        3.2        3.3 0.00197285  0.0444167
        84        3.3        3.4 0.00271383  0.0520944
        85        3.4        3.5 0.00263475  0.0513298
        86        3.5        3.6 0.00203624  0.0451248
        87        3.6        3.7 0.00102769  0.0320575
        88        3.7        3.8 1.91393e-07 0.000437485
        89        3.8        3.9 0.000145857  0.0120771
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
