# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1        0.7        2.5 0.00650799 0.00089086
         2        2.5          5 0.00600067 0.000579824
         3          5        7.5 0.00428419 0.000550887
         4        7.5         10 0.00278659 0.000591245
         5         10       12.5 0.00120642 0.000661361
         6       12.5         15 0.000357095 0.000747602
         7         15       17.5 0.00126967 0.000843696
         8       17.5         20 0.00269404 0.000949373
         9         20         30 0.00459807 0.000609955
        10         30         40 0.00623229 0.000876897
        11         40         50 0.00829438 0.00119132
        12         50         70 0.00970521  0.0012337
        13         70         90  0.0123796 0.00197045
        14         90        110  0.0159587 0.00300401
        15        110        150  0.0238761 0.00365728
        16        150        190  0.0402188 0.00728114
        17        190        250  0.0589778  0.0116467
        18        250        600   0.098363  0.0202866
        19        600       3500  0.0495575   0.158814
