# 
#       Bin     Y_Min     Y_Max     Value  Uncertainty
         1         -5       -4.9          0          0
         2       -4.9       -4.8          0          0
         3       -4.8       -4.7          0          0
         4       -4.7       -4.6          0          0
         5       -4.6       -4.5          0          0
         6       -4.5       -4.4          0          0
         7       -4.4       -4.3          0          0
         8       -4.3       -4.2          0          0
         9       -4.2       -4.1          0          0
        10       -4.1         -4          0          0
        11         -4       -3.9          0          0
        12       -3.9       -3.8 6.63832e-05 0.00814759
        13       -3.8       -3.7 0.000134872  0.0116135
        14       -3.7       -3.6 0.000196192  0.0140069
        15       -3.6       -3.5 0.000163677  0.0127936
        16       -3.5       -3.4 0.000584496  0.0241764
        17       -3.4       -3.3 0.000277944  0.0166716
        18       -3.3       -3.2 0.000461327  0.0214785
        19       -3.2       -3.1 0.00102997  0.0320931
        20       -3.1         -3 0.000952761  0.0308668
        21         -3       -2.9 0.000321616  0.0179336
        22       -2.9       -2.8 0.00104809  0.0323743
        23       -2.8       -2.7 0.00142653  0.0377694
        24       -2.7       -2.6 0.00117903   0.034337
        25       -2.6       -2.5 0.00064294  0.0253563
        26       -2.5       -2.4 0.000340032  0.0184399
        27       -2.4       -2.3 0.000106806  0.0103347
        28       -2.3       -2.2 0.000611522   0.024729
        29       -2.2       -2.1 0.000679685  0.0260708
        30       -2.1         -2 0.000229972  0.0151648
        31         -2       -1.9 0.000261894  0.0161831
        32       -1.9       -1.8 0.000515585  0.0227065
        33       -1.8       -1.7 0.000223589  0.0149529
        34       -1.7       -1.6 0.000132799  0.0115238
        35       -1.6       -1.5 0.000289497  0.0170146
        36       -1.5       -1.4 5.25661e-05 0.00725025
        37       -1.4       -1.3 0.000272124  0.0164962
        38       -1.3       -1.2 0.000269687  0.0164221
        39       -1.2       -1.1 0.000238371  0.0154393
        40       -1.1         -1 0.000557658  0.0236148
        41         -1       -0.9 0.000357511   0.018908
        42       -0.9       -0.8 0.000132238  0.0114995
        43       -0.8       -0.7 0.00041056  0.0202623
        44       -0.7       -0.6 0.000604314  0.0245828
        45       -0.6       -0.5 0.000453709  0.0213004
        46       -0.5       -0.4 0.000647162  0.0254394
        47       -0.4       -0.3 0.000414244   0.020353
        48       -0.3       -0.2 0.000300085   0.017323
        49       -0.2       -0.1 0.000582309  0.0241311
        50       -0.1          0 0.000369501  0.0192224
        51          0        0.1 0.000486153  0.0220489
        52        0.1        0.2 0.000518094  0.0227617
        53        0.2        0.3 0.000457701   0.021394
        54        0.3        0.4 0.000527769  0.0229732
        55        0.4        0.5 0.000520125  0.0228063
        56        0.5        0.6 0.000413709  0.0203398
        57        0.6        0.7 0.000433423  0.0208188
        58        0.7        0.8 0.000351709  0.0187539
        59        0.8        0.9 0.000318841  0.0178561
        60        0.9          1 0.000260538  0.0161412
        61          1        1.1 0.000288485  0.0169848
        62        1.1        1.2 0.000378752  0.0194616
        63        1.2        1.3 0.000240422  0.0155055
        64        1.3        1.4 4.57182e-06 0.00213818
        65        1.4        1.5 0.000179087  0.0133823
        66        1.5        1.6 0.000159651  0.0126353
        67        1.6        1.7 0.000235435  0.0153439
        68        1.7        1.8 0.000176695  0.0132927
        69        1.8        1.9 0.000196549  0.0140196
        70        1.9          2 0.000471587   0.021716
        71          2        2.1 0.000183808  0.0135576
        72        2.1        2.2 0.000250152  0.0158162
        73        2.2        2.3 0.000195695  0.0139891
        74        2.3        2.4 0.000349851  0.0187043
        75        2.4        2.5 0.000488026  0.0220913
        76        2.5        2.6 0.000353959  0.0188138
        77        2.6        2.7 0.000600465  0.0245044
        78        2.7        2.8 0.00166846  0.0408468
        79        2.8        2.9 0.000666402  0.0258148
        80        2.9          3 0.000498638  0.0223302
        81          3        3.1 0.000790327  0.0281128
        82        3.1        3.2 0.000716308  0.0267639
        83        3.2        3.3 0.000951377  0.0308444
        84        3.3        3.4 0.000913708  0.0302276
        85        3.4        3.5 0.000383072  0.0195722
        86        3.5        3.6 0.000281954  0.0167915
        87        3.6        3.7 0.00034006  0.0184407
        88        3.7        3.8 9.49478e-05 0.00974411
        89        3.8        3.9 1.09635e-05 0.00331112
        90        3.9          4          0          0
        91          4        4.1          0          0
        92        4.1        4.2          0          0
        93        4.2        4.3          0          0
        94        4.3        4.4          0          0
        95        4.4        4.5          0          0
        96        4.5        4.6          0          0
        97        4.6        4.7          0          0
        98        4.7        4.8          0          0
        99        4.8        4.9          0          0
       100        4.9          5          0          0
